lemma,prefix,fullEntry
as,Cardoso,-<b>As</b> <b>assis</b>
ab,Cardoso,<b>A</b> <br> <small>praepositio cũ ablatiuo.</small> <br> <small>scribitur cũ accẽtu graui.</small>   <p> <b>1</b> &ensp; significa. de <br> <b>2</b> &ensp; <small>separationem & motũ à loco significat</small> <br> <b>3</b> &ensp; <small>interdũ designat post</small> <br> <b>4</b> &ensp; <small>aliquãdo denotat officium</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>2</b><br>redeo a domo &ensp; <small>Eu torno da casa</small> <br> <br><b>3</b><br>a coena &ensp; <small>despois da cea</small> <br> secũdus a Rege &ensp; <small>o mayor logo despois del Rey</small> <br> <br><b>4</b><br>a sacris concionibus &ensp; <small>Hum pregador</small> <br> a secretis Regis &ensp; <small>o secretayro del Rey</small> </p>
ab,Cardoso,<b>Ab</b>   <p> <b>1</b> &ensp; <small>idẽ valent & significãt quod praepositio à</small> &ensp; s. de </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>ab ineunte aetate &ensp; <small>des na mocidade. ou desde menino</small> <br> hoc abs te peto &ensp; <small>Isto vos peço</small> <br> nã peçaes cousa deshonesta <br> ne quid ores ab re &ensp; <small><small>idest. nihil absurdum</small></small> <br> uenio ab urbe &ensp; <small>Venho da cidade</small> </p>
abactus,Cardoso,<b>Abactus</b> <b>us</b> <br> <small>verbale.</small>
ab,Cardoso,<b>abs</b>   <p> <b>1</b> &ensp; <small>idẽ valent & significãt quod praepositio à</small> &ensp; s. de </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>ab ineunte aetate &ensp; <small>des na mocidade. ou desde menino</small> <br> hoc abs te peto &ensp; <small>Isto vos peço</small> <br> nã peçaes cousa deshonesta <br> ne quid ores ab re &ensp; <small><small>idest. nihil absurdum</small></small> <br> uenio ab urbe &ensp; <small>Venho da cidade</small> </p>
ab,Cardoso,<b>Abs</b> <br> <small>praepositio.</small>   <p> <b>1</b> &ensp; <small>significat.</small> &ensp; de </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>abs quiuis <br> abs te </p>
abscedo,Cardoso,<b>Abscedo</b> <b>is</b>
abscessus,Cardoso,<b>Abscessus</b> <b>us</b>
abstineo,Cardoso,<b>Abstineo</b> -<b>es</b>
atque,Cardoso,<b>Ac</b> <br> <small>cõiunctio copulatiua.</small>   <p> <b>1</b> &ensp; <small>pro et</small> </p>
Academia,Cardoso,<b>Academia</b> -<b>ae</b>
acceptilatio,Cardoso,<b>Acceptilatio</b> <b>onis</b>
accipio,Cardoso,<b>Accipio</b>   <p> <b>1</b> &ensp; <small>pro intelligo</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>nõ recte accipis &ensp; <small><small>Terent</small></small> &ensp; <small>Não entendeis bem</small> </p>
accipio,Cardoso,<b>Accipio</b> <b>is</b> -<b>epi</b> -<b>eptum</b>   <p> <b>1</b> &ensp; receber. ouuir. tratar </p>
achelus,Cardoso,<b>achelus</b>
acucula,Cardoso,<b>Acicula</b> -<b>ae</b>
actus,Cardoso,<b>Actus</b> <b>us</b>
ad,Cardoso,<b>Ad</b> <br> <small>praepositio.</small>   <p> <b>1</b> &ensp; acerca. ou para </p>
adeo2,Cardoso,<b>Adeo</b> <b>is</b>
admitto,Cardoso,<b>Admitto</b> <b>is</b>
aedilicius,Cardoso,<b>Aedilitius</b> -<b>a</b> <b>um</b>
aedes,Cardoso,<b>Aedis</b> <b>is</b>
affectus,Cardoso,<b>Affectus</b> <b>us</b>
affinis,Cardoso,<b>Affinis</b> -<b>e</b>
agite,Cardoso,<b>agedum</b> <br> <small>aduerb.</small>
ago,Cardoso,<b>Ago</b> <b>is</b>
ago,Cardoso,<b>Ago</b> <b>is</b>
ago,Cardoso,<b>Ago</b> <b>is</b>   <p> <b>1</b> &ensp; represento </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>ago Eunuchum <br> ago Parasitum </p>
ago,Cardoso,<b>Ago</b> <b>is</b> -<b>egi</b> <b>actum</b>   <p> <b>1</b> &ensp; fazer o que não fica </p>
ala,Cardoso,<b>Ala</b> -<b>ae</b>
ala,Cardoso,<b>Ala</b> -<b>ae</b>
alica,Cardoso,<b>Alica</b> -<b>ae</b>
aliquis,Cardoso,<b>Aliquis</b> -<b>a</b> <b>quod</b>   <p> <b>1</b> &ensp; algum. ou algũa </p>
alius,Cardoso,<b>Alius</b> -<b>a</b> <b>ud</b>   <p> <b>1</b> &ensp; outro. ou outra </p>
alter,Cardoso,<b>Alter</b> -<b>a</b> <b>um</b>   <p> <b>1</b> &ensp; hum dos dous </p>
alter,Cardoso,<b>Alter</b> -<b>eris</b>   <p> <b>1</b> &ensp; a maça de chumbo </p>
ambrosia,Cardoso,<b>Ambrosia</b> -<b>ae</b>
amicus,Cardoso,<b>Amicus</b> <b>i</b>   <p> <b>1</b> &ensp; o amigo </p>
ampulla,Cardoso,<b>Ampulla</b> -<b>ae</b>
an,Cardoso,<b>An</b> <br> <small>aduerb. interrogatiuũ.</small>   <p> <b>1</b> &ensp; por ventura </p>
anatarius,Cardoso,<b>Anatorius</b> -<b>a</b> <b>um</b>
ancorarius,Cardoso,<b>Anchorarius</b> <b>ij</b>
animaduerto,Cardoso,<b>Animaduerto</b> <b>is</b>
