lemma,lila_id,source,entry_id,senseGroup,sense_id,sense_prefix,example_text,example_prenote,example_trad,example_posnote
capio,lilaLemma:92686,Faria,Faria1994.n04907.e01,Faria1994.n04907.sg01,Faria1994.n04907.sg01.s07,7,…consulatum Cíc. Pis. 3 «obter o consulado».,,,
gero,lilaLemma:104536,Faria,Faria1994.n13657.e01,Faria1994.n13657.sg01,Faria1994.n13657.sg01.s05,5,"…personam C!C. Of. I, 115 ‘ter um papeli’; …amicitiam Cíc. Fam. 3, 8,5 «manter a amizade»; …fortem animum Sal. B. Jug. 107, I «mostrar coragem».",,,
castra,lilaLemma:138599,Faria,Faria1994.n05136.e01,Faria1994.n05136.sg01,Faria1994.n05136.sg01.s10,10,"«castra aestiva» Tác An. 3, 21 «acampamento de verão, quartel de verão».",,,
castra,lilaLemma:138599,Faria,Faria1994.n05136.e01,Faria1994.n05136.sg01,Faria1994.n05136.sg01.s11,11,"«castra hiberna» T. Lív. 29, 35 «acampamento de inverno».",,,
castra,lilaLemma:138599,Faria,Faria1994.n05136.e01,Faria1994.n05136.sg01,Faria1994.n05136.sg01.s06,6,"«castra movere» Cés. B. Gal. 1, 15, 1 «levantar acampamento».",,,
castra,lilaLemma:138599,Faria,Faria1994.n05136.e01,Faria1994.n05136.sg01,Faria1994.n05136.sg01.s07,7,"«castra munire» Cés. B. Gal. 1, 49, 2 «construir um acampamento».",,,
castra,lilaLemma:138599,Faria,Faria1994.n05136.e01,Faria1994.n05136.sg01,Faria1994.n05136.sg01.s08,8,"«castra ponere» Cés. B. Gal. 1. 22, 5 «assentar acampamento. acampar.",,,
castra,lilaLemma:138599,Faria,Faria1994.n05136.e01,Faria1994.n05136.sg01,Faria1994.n05136.sg01.s09,9,«castra stativa» Cés. B. Civ. 3. 30. 3 «acampamento permanente».,,,
causa,lilaLemma:93253,Faria,Faria1994.n05245.e01,Faria1994.n05245.sg01,Faria1994.n05245.sg01.s01,1,«honoris causa» Cíc. Amer. 6 «para honrar como honraria.,,,
non,lilaLemma:114108,Faria,Faria1994.n20637.e01,Faria1994.n20637.sg01,Faria1994.n20637.sg01.s02,2,* non curia vires meas desiderat C íc. C. M. 32 “não é a cúria que lastima o desaparecimento de minhas forças”.,,,
modus,lilaLemma:112553,Faria,Faria1994.n19706.e01,Faria1994.n19706.sg01,Faria1994.n19706.sg01.s01,1,"~ agri Cíc. A t. 13, 33. 2 “medida de um campo”.",,,
ab,lilaLemma:86824,Velez,Velez1744.n0001.e01,Velez1744.n0001.sg01,Velez1744.n0001.sg01.s02,2,a coena,,depois da cea,
ab,lilaLemma:86824,Cardoso,Cardoso1570.n00001.e01,Cardoso1570.n00001.sg01,Cardoso1570.n00001.sg01.s03,3,a coena,,despois da cea,
