lemma,prefix,fullEntry
que,Faria,"<b>-que</b> <br> <small>conj. copulativa, enclítica = et.</small> <br> <small>Obs.: Partícula enclítica, ligando duas palavras ou membros de frase. Em geral, não se emprega depois de ab, ob, sub, apud, a, ad, mas: exque Cíc. Phil. 3, 38. Geralmente não se emprega depois de sic, tunc, nunc, huc, illuc, mas, raramente: hucque Tác. An. 13,37; tuncque Tác. An. 14, 15. Pode aparecer repetida: -que... -que Plaut. Rud. 369; Sal. B. Jug. 10. 2. Encontra-se também: -que ... et em lugar de et ... et Sal. B. Jug. 26, 1. Aparece: -que... atque Verg. G. 1, 182. A forma -qué alongada na cesura aparece em Verg. En. 3, 91.</small>   <p> <b>1</b> &ensp; <small></small> &ensp; E, também: &ensp; <small></small> <br> <b>2</b> &ensp; <small></small> &ensp; Isto é, a saber: &ensp; <small></small> <br> <b>3</b> &ensp; <small></small> &ensp; E mesmo &ensp; <small>Cés. B. Gal. 5, 14, 4.</small> <br> <b>4</b> &ensp; <small></small> &ensp; E ao contrário &ensp; <small>oposição a uma negação Cíc. Tusc. 1. 71.</small> <br> <b>5</b> &ensp; <small></small> &ensp; E também, semelhante &ensp; <small>v. itemque Cíc. Of. 3, 96.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>senatus populusque Romanus «o senado e o povo romano». <br> <br><b>2</b><br>ad Rhenum finesque Germanorum contendere Cés. B. Gal. 1, 27, 4 ‘dirigir-se para o Reno, isto é, para o território dos germanos’. </p>"
ab,Faria,"<b>a</b> <br> <b>ab</b> <br> <b>abs</b> <br> <small>prep. abl. e prev.</small> <br> <small>Obs.: Como provérbio, ab- indica afastamento, ausência e Daí privação: abduco“levar para longe, afastar”; amens “privado da razão, louco”. Ab é empregada geralmente antes de vogal e de d, l, n, r, s e da semivogal i j; abs antes de t raro; a antes das demais consoantes. Entretanto no uso corrente, encontram-se exceções que mostram que essas regras não são de caráter absoluto. Em composição ab se emprega antes de vogal, de h e das consoantes d, l, n, r, s; abs antes de c, t; antes de p, abs reduz-se a as; a e a forma reduzida antes das bilabiais b, m.</small>   <p> <b>1</b> &ensp; <small>I-Sent. próprio-Ponto de partida da vizinhança de um lugar, e não do interior do mesmo, podendo ou não ter ideia de movimento:</small> &ensp; <small></small> <br> <b>2</b> &ensp; <small>I-Sent. próprio-Afastamento, separação:</small> &ensp; de, longe de: &ensp; <small></small> <br> <b>3</b> &ensp; <small>I-Sent. próprio-Ainda em sentido local:</small> &ensp; do lado de: &ensp; <small></small> <br> <b>4</b> &ensp; <small>II-Desses empregos concretos passou a ser usada em outras acepções deles derivadas, indicando:-Procedência:</small> &ensp; de, da parte de: &ensp; <small></small> <br> <b>5</b> &ensp; <small>II-Desses empregos concretos passou a ser usada em outras acepções deles derivadas, indicando:-Descendência:</small> &ensp; de, descendente de: &ensp; <small></small> <br> <b>6</b> &ensp; <small>III-Em sent. figurado:</small> &ensp; Do lado de, do partido de, em favor de: &ensp; <small></small> <br> <b>7</b> &ensp; <small>III-Em sent. figurado:</small> &ensp; A respeito de, quanto a, acerca de: &ensp; <small></small> <br> <b>8</b> &ensp; <small>III-Em sent. figurado:-Com verbos passivos, indica o complemento de causa eficiente:</small> &ensp; <small></small> <br> <b>9</b> &ensp; <small>IV-Sent. temporal:</small> &ensp; Desde, depois de: &ensp; <small></small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>a signo Vertumni in Circum Maximum venit Cíc. Verr. I, 154 “veio da estátua de Vertuno ão Circo Maximo”. <br> <br><b>2</b><br>ab oppido castra movit Cés. B. Civ. 3, 80, 7 “levantou acampamento afastando-se da cidade”. <br> <br><b>3</b><br>a decumana porta Cés. B. Gal. 6, 37, 1 “do lado da porta decumana”. <br> <br><b>4</b><br>Iegati ab Aeduis et a Treveris veniebant Cés. B. Gal. 1, 37, 1 “vinham embaixadores da parte dos, éduos e dos treviros”. <br> <br><b>5</b><br>a Deucalione ortus Cíc. Tusc. 1, 21 “descendente de Deucalião”. <br> <br><b>6</b><br>ab reo dicere Cíc. Clu. 93 “falar em favor do réu”. <br> <br><b>7</b><br>tempus mutus a litteris Cíc. At. 8, 14, J “época silenciosa quanto a cartas”. <br> <br><b>8</b><br>a magistratu Aeduórum accusaretur Cés. B. Gal. 1, 19, 1 “seria acusado por um magistrado dos éduos”. <br> <br><b>9</b><br>a tuo digressu Cíc. At. 1, 5, 4 “depois da tua partida”. </p>"
ab,Faria,"<b>abs</b> <br> <small></small> <br> <small>v. a, ab.</small>"
atque,Faria,<b>ac</b> <br> <small>conj.</small> <br> <small>v. atque.</small>
accipio,Faria,<b>accēpī</b> <br> <small>perf. de accipĭo.</small> <br> <small></small>
accipio,Faria,"<b>accipĭō</b> <b>-is</b> <b>-ĕre</b> <b>-cĕpī, -cēptum</b> <br> <small>v. tr.</small> <br> <small>Obs.: Fut. pert. accepso Pacúv. Tr. 325.</small>   <p> <b>1</b> &ensp; <small>I-Sent. próprio</small> &ensp; Tomar para si, receber, aceitar: &ensp; <small></small> <br> <b>2</b> &ensp; <small>II-Daí</small> &ensp; Receber pelos sentidos, ouvir, ouvir dizer, escutar &ensp; <small>Cíc. Phil. 8, 28.</small> <br> <b>3</b> &ensp; <small>II-Donde, em sentido intelectual:</small> &ensp; Compreender, interpretar, entender &ensp; <small>Cíc. Dej. 26.</small> <br> <b>4</b> &ensp; <small>II-Donde, em sentido intelectual:</small> &ensp; Aprender &ensp; <small>Cíc. Arch. 18.</small> <br> <b>5</b> &ensp; <small>II-Em sent. moral:</small> &ensp; sofrer, experimentar, suportar &ensp; <small>Cíc. Tusc.5, 56.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>ab defessis accípere scalas T. Lív. 26, 45, 6 «tomar as escadas das mãos dos fatigados»,  </p>"
ad,Faria,"<b>ad</b> <br> <small>prep. com acus. e prev.</small> <br> <small></small>   <p> <b>1</b> &ensp; <small>I-indica: aproximação, direção para geralmente com idéia de movimento, aplicando-se ao espaço e ao tempo:</small> &ensp; A, para, até: &ensp; <small></small> <br> <b>2</b> &ensp; <small>I-Com nomes de cidades e pequenas ilhas, indica a direção ou a chegada nas vizinhanças das mesmas:</small> &ensp; <small></small> <br> <b>3</b> &ensp; <small>I-Sent. Temporal:</small> &ensp; Até, em, durante, por, dentro de: &ensp; <small></small> <br> <b>4</b> &ensp; <small>I-Indica a proximidade em seus vários aspectos:</small> &ensp; perto de, junto de, em casa de, diante de, na frente de, do lado de &ensp; <small>sem idéia de movimento:</small> <br> <b>5</b> &ensp; <small>Desses Sentidos gerais e básicos de “em direção a” ou “na vizinhança de” decorrem numerosas acepções derivadas:</small> &ensp; Em vista, para: &ensp; <small></small> <br> <b>6</b> &ensp; <small>Desses Sentidos gerais e básicos de “em direção a” ou “na vizinhança de” decorrem numerosas acepções derivadas:</small> &ensp; Relativamente a, com relação a, quanto a &ensp; <small>Cíc. Verr. 5, 22.</small> <br> <b>7</b> &ensp; <small>Desses Sentidos gerais e básicos de “em direção a” ou “na vizinhança de” decorrem numerosas acepções derivadas:</small> &ensp; Segundo, conforme: &ensp; <small></small> <br> <b>8</b> &ensp; <small>Desses Sentidos gerais e básicos de “em direção a” ou “na vizinhança de” decorrem numerosas acepções derivadas:</small> &ensp; Em comparação com &ensp; <small>Cíc. Tusc. 1, 40.</small> <br> <b>9</b> &ensp; <small>Desses Sentidos gerais e básicos de “em direção a” ou “na vizinhança de” decorrem numerosas acepções derivadas:</small> &ensp; Cerca de, pouco mais ou menos &ensp; <small>com numerais Cés. B. Gal. 1, 4, 2.</small> <br> <b>10</b> &ensp; <small>Desses Sentidos gerais e básicos de “em direção a” ou “na vizinhança de” decorrem numerosas acepções derivadas:</small> &ensp; Contra &ensp; <small>na língua militar Cés. B. Gal. 5, 9, 1.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>cum ego ad Heracleam accederem Cíc. Verr. 5, 129 “como eu me aproximasse de Heracléia”. <br> <br><b>2</b><br>ad Genavam pervenit Cés. B. Gal. 1, 7, 1 “chegou às vizinhanças de Genebra.” <br> <br><b>3</b><br>ad hanc diem Cíc. Cat. 3, 17 “até hoje”; ad vesperam Cíc. Cat 2, 6 “pela tarde”; ad annum Cíc. At. 5, 2, 1 “dentro de um ano”. <br> <br><b>4</b><br>pons qui erat ad Genavam Cés. B. Gal. 1, 7, 2 “ponte que havia perto de Genebra” fuit ad me Cíc. At. 10, 4, 8 “esteve junto de mim ou em minha casa”; ad populum agere Cíc. Phil. 12, 17 “falar perante o povo”; ad laevam, ad dextram Cíc. Tim. 48 “ à esquerda, à direita”. <br> <br><b>5</b><br>ad omnes casus Cés. B. Gal. 4, 31, 2 “em vista de todas as eventualidades”. <br> <br><b>7</b><br>ad naturam Cíc. Fin. 1, 30 “segundo a natureza”. </p>"
ab,Faria,<b>af</b> <br> <small>prep. arc.</small> <br> <small>v. ab Cíc. Or. 158.</small>
ago,Faria,"<b>age</b> <b>agĭte</b> <br> <small>Imperat. de ago, usado como interj.:</small> <br> <small></small>   <p> <b>1</b> &ensp; <small></small> &ensp; Eia! Vamos! Coragem! Pois bem! &ensp; <small>Cíc. Caec. 48; Cíc. Mil. 55.</small> </p>"
ago,Faria,"<b>agō</b> <b>-is</b> <b>-ĕre</b> <b>-ēgi, -āctum</b> <br> <small>v. tr. e intr.</small> <br> <small>Obs.: Constrói-se com acus. de direção, com inf., com dat., com supino, com acus. e abl. com prep., e intransitivamente. O inf. pass. arc. agier aparece nas fórmulas jurídicas até no período clássico Cic. Of. 3, 61.</small>   <p> <b>1</b> &ensp; <small>I-Sent. próprio</small> &ensp; Empurrar para a frente, impelir, fazer marchar na frente, fazer avançar, tocar: &ensp; <small></small> <br> <b>2</b> &ensp; <small>I-Daí:</small> &ensp; Dirigir-se para, ir, vir &ensp; <small>reflexivo ou passivo com sentido reflexivo Verg. En. 6. 337.</small> <br> <b>3</b> &ensp; <small>I-Donde, com dat.:</small> &ensp; Fazer sair, lançar, expulsar, fazer ir, arrastar &ensp; <small>Cíc. At. 11,21,2.</small> <br> <b>4</b> &ensp; <small>I-Donde, com dat.:</small> &ensp; Fazer entrar, afundar, introduzir, enterrar &ensp; <small>Cés. B. Gal. 4, 17, 9.</small> <br> <b>5</b> &ensp; <small>II-Sent. figurado ideia de atividade com sentido durativo:</small> &ensp; Agir, fazer: &ensp; <small></small> <br> <b>6</b> &ensp; <small>II-Daí:</small> &ensp; Ocupar-se de, tratar de, regular urn negócio &ensp; <small>Cic. Br. 249.</small> <br> <b>7</b> &ensp; <small>II-Empregos especiais:</small> &ensp; Viver, passar a vida &ensp; <small>tr. int. Cíc. Tusc. 5, 77;</small> <br> <b>8</b> &ensp; <small>II-Empregos especiais:</small> &ensp; Agere em oposição a quiescere: agir principalmenle com gerúndio, fazer, ocupar-se &ensp; <small>Cíc. Nat. 2, 132.</small> <br> <b>9</b> &ensp; <small>II-Na língua jurídica intransitivamente:</small> &ensp; Encaminhar uma ação segundo a lei, agir, proceder segundo a lei, intentar uma ação, advogar, defender: &ensp; <small></small> <br> <b>10</b> &ensp; <small>II-Na língua comum:</small> &ensp; Tratar de, discutir, sustentar, empreender &ensp; <small>Cíc. Mur. 51; Cés. B. Gal. 1, 13, 3.</small> <br> <b>11</b> &ensp; <small>II-Na língua religiosa:</small> &ensp; Cumprir os ritos dos sacrifícios rituais, sacrificar &ensp; <small>Ov. F. 1, 322.</small> <br> <b>12</b> &ensp; <small>II-Na língua do teatro:</small> &ensp; Representar, representar um papel &ensp; <small>Cíc. De Or. 1, 124.</small> <br> <b>13</b> &ensp; <small>II-Na língua do teatro:</small> &ensp; Proceder bem ou mal para com alguém &ensp; <small>intr. Cíc. Quinct. 84.</small> <br> <b>14</b> &ensp; <small>II-Passivo</small> &ensp; Estar em jogo; estar na ordem do dia, estar em perigo &ensp; <small>Cíc. Quinct. 9.</small> <br> <b>15</b> &ensp; <small>II-Notem-se as expressões:</small> &ensp; <small></small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>vinctum ante se regern agebat C. Nep. Dat. 3, 2 «fazia marchar na frente o rei acorrentado»; en ipse capellas ago Verg. Buc. 1, 13 «eis que eu mesmo toco as cabritas». <br> <br><b>5</b><br>quid agam Cíc. At. 7, 12, 3 «que farei? ». <br> <br><b>7</b><br>agere incerta pace T. Lív. 9, 25,6 “viver numa paz incerta”. <br> <br><b>9</b><br>agere in hereditatem Cíc. De Or. 1, 175 «intentar uma ação a respeito de herança». <br> <br><b>15</b><br>agere gratias Cíc. Phil. 1. 3 «agradecer»; laudes agere T. Lív. 26, 48, 3 “glorificar”; paenitentiarn agere Tác. D. 15« arrepender-se»: agere otia «estar em descanso»: etc. </p>"
alius,Faria,<b>alĭae</b> <br> <small>gen. e dat.; v. alĭus.</small> <br> <small></small>
aliquis,Faria,<b>alĭques</b> <br> <small></small> <br> <small>v. alíquis.</small>
aliquis,Faria,"<b>alĭquis</b> <b>-qua</b> <b>-quid</b> <br> <small>pron. indef.</small> <br> <small>Obs.: Dat. sing. arc. aliquoi Sên. Contr. 9, 5, 11; dat. abl. pl. aliquis T. Lív. 24, 22, 14.</small>   <p> <b>1</b> &ensp; <small></small> &ensp; Algum, alguém, alguma coisa &ensp; <small>indeterminado, mas existente:</small> <br> <b>2</b> &ensp; <small></small> &ensp; Algum, alguém, alguma coisa &ensp; <small>não importa qual:</small> <br> <b>3</b> &ensp; <small></small> &ensp; Alguém ou alguma coisa &ensp; <small>de importância Cíc. Verr. 5, II.</small> <br> <b>4</b> &ensp; <small></small> &ensp; Alguma, alguém = qualquer &ensp; <small>com sentido irônico Cíc. Phil. 2, 14.</small> <br> <b>5</b> &ensp; <small></small> &ensp; Cerca de, uns &ensp; <small>com números Plaut, Men. 950.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>dum modo aliquis C ic. At. 10, 15, 3 «contanto que haja alguém». <br> <br><b>2</b><br>cum aliquam ob causam navigarent Cíc. Verr. 5, 72 «como navegassem por urn motivo qualquer». </p>"
aliquis,Faria,<b>alĭquoi</b> <br> <small></small> <br> <small>v. alìquis.</small>
alius,Faria,"<b>alĭus</b> <b>-a</b> <b>-ud</b> <br> <small>pron.</small> <br> <small>Obs.: Formas raras: gen. f. aliae Cíc. Div. 2, 30; dat. m. alio Sên. Ben. 4, 32, 3.</small>   <p> <b>1</b> &ensp; <small></small> &ensp; Outro &ensp; <small>falando de mais de dois Cíc. Flac. 39.</small> <br> <b>2</b> &ensp; <small>O pl. n. alia significa:</small> &ensp; outra coisa, outros fatos &ensp; <small>T. Lív. 29, 18, 7.</small> <br> <b>3</b> &ensp; <small></small> &ensp; Diferente, outro, diverso &ensp; <small>Cíc. Fam. 11, 12, 2.</small> <br> <b>4</b> &ensp; <small></small> &ensp; Os outros &ensp; <small>alii = ceteri Cic. Verr. 4, 44.</small> <br> <b>5</b> &ensp; <small></small> &ensp; Outro &ensp; <small>em lugar de alter Cés. B. Civ. 3, 21, 2.</small> <br> <b>6</b> &ensp; <small>Em locuções:</small> &ensp; alius ac, atque, et, praeter, quam, diferente de: unicamente &ensp; <small>Cíc. Verr. 2, 128.</small> <br> <b>7</b> &ensp; <small></small> &ensp; <small></small> <br> <b>8</b> &ensp; <small></small> &ensp; Alius alium marcando reciprocidade ou alternativa: um a outro &ensp; <small>Cíc. Rep. 3, 23.</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>7</b><br>Alius ...alius repetido duas ou mais vezes: um outro; alii alii mais comum: uns outros: alius alius ... plerique Cés. B. Gal. 6. 37. 7: um ... outro ... a maior parte. </p>"
alter,Faria,"<b>alter</b> <b>-ĕra</b> <b>-ĕrum</b> <br> <small>pron.</small> <br> <small></small>   <p> <b>1</b> &ensp; <small></small> &ensp; Um de dois outro falando de dois &ensp; <small>Cíc. Tusc. 1, 97.</small> <br> <b>2</b> &ensp; <small></small> &ensp; O segundo numa enumeração, o seguinte &ensp; <small>Cíc. Br. 197.</small> <br> <b>3</b> &ensp; <small></small> &ensp; Outro &ensp; <small>Cíc. Lac. 80.</small> <br> <b>4</b> &ensp; <small></small> &ensp; Outrem &ensp; <small>Cíc. Quinct. 51.</small> <br> <b>5</b> &ensp; <small></small> &ensp; Alter ...alter: um...outro, o primeiro ... o segundo; alteri ... alteri &ensp; <small>sentido coletivo Cíc. Sest. 96.</small> <br> <b>6</b> &ensp; <small></small> &ensp; Alterum fantum: outro tanto, o dobro &ensp; <small>T. Lív. 1, 36, 7.</small> <br> <b>7</b> &ensp; <small></small> &ensp; Unus et alter: um e depois o outro &ensp; <small>Cíc. Verr. 2, 75.</small> <br> <b>8</b> &ensp; <small></small> &ensp; Unus aut alter. um ou dois &ensp; <small>Cíc. Mur. 43.</small> <br> <b>9</b> &ensp; <small></small> &ensp; Alter alterum: um ao outro &ensp; <small>Cíc. Clu. 122.</small> </p>"
