lemma,prefix,fullEntry
ab,Fonseca,"<b>Ab</b> <br> <small>prepos. de ablat.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; da, das, de, do, dos, depois, por, por causa. </p>"
ab,Fonseca,<b>Abs</b> <br> <small>prepos. de ablat. Cic.</small> <br> <small>v. Ab.</small>
atque,Fonseca,"<b>Ac</b> <br> <small>conjunc.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; e, do que. </p>"
accersitus,Fonseca,<b>Accersitus</b> -<b>a</b> -<b>um</b> <br> <small>Cic. part. de Accerso</small>
accidentia,Fonseca,<b>Accidentia</b> -<b>ium</b> <br> <small>n. pl.</small>
accipio,Fonseca,"<b>Accipio</b> -<b>is</b> -<b>cepi</b> -<b>ceptum</b> -<b>pere</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; receber, aceitar. <br> <b>2</b> &ensp; ouvir, aprender. </p>"
accubitio,Fonseca,<b>Accubitio</b> -<b>onis</b> <br> <small>f.</small>
acipenser,Fonseca,<b>Acipensis</b> -<b>is</b> <br> <small>m.</small>
ad,Fonseca,"<b>Ad</b> <br> <small>prepos. que rege accus.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; para, junto, ao pé, até. </p>"
ademptus,Fonseca,<b>Ademtus</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b> <br> <small>Cic. part. de Adimo.</small>
admotus,Fonseca,<b>Admotus</b> -<b>a</b> -<b>um</b> <br> <small>Plin. part. de Admoveo</small>
adulescentior,Fonseca,<b>Adolescentior</b> -<b>oris</b> <br> <small>comp.</small>
adorsus,Fonseca,<b>Adortus</b> -<b>a</b> -<b>um</b> <br> <small>part. de Adorior.</small>
aedes,Fonseca,<b>Aedes</b> -<b>dium</b> <br> <small>f. plur.</small>
aerius,Fonseca,<b>Aerius</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>
aetherius,Fonseca,<b>Aetherius</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b>
ago,Fonseca,"<b>Ago</b> -<b>is</b> -<b>egi</b> <b>actum</b> -<b>gere</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; fazer, tratar, obrar. <br> <b>2</b> &ensp; conduzir, levar, representar. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>agere forum &ensp; <small><small>Cic</small></small> &ensp; <small>Administrar a justiça</small> <br> agere furti &ensp; <small><small>Cic</small></small> &ensp; <small>Accusar de furto</small> </p>"
agrestis,Fonseca,<b>Agrestis</b> -<b>is</b> <br> <small>m.</small>
alia,Fonseca,<b>Alias</b> <br> <small>adv.</small>
alioqui,Fonseca,<b>Alioquin</b> <small>&</small> <br> <small>adv.</small>
aliorsum,Fonseca,<b>Alioversum</b> <small>&</small> <br> <small>adv.</small>
aliorsum,Fonseca,<b>Alioversus</b> <br> <small>adv.</small>
aliqua,Fonseca,<b>aliquam</b>
aliqua,Fonseca,<b>Aliquid</b> <br> <small>subst. n.</small>
aliquis,Fonseca,<b>Aliquis</b> -<b>qua</b> -<b>quod</b> -<b>quid</b> <small>&</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; algum. </p>
aliquotiens,Fonseca,<b>Aliquotiens</b> <small>&</small> <br> <small>adv.</small>
alius,Fonseca,"<b>Alius</b> -<b>a</b> -<b>ud</b> <b>Alius</b> <small>genit</small> <b>Alii</b> <small>l</small> -<b>ae</b> -<b>ii</b> <small>para todos os gen</small> <b>Alii</b> <small>dat</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; outro. <br> <b>2</b> &ensp; diverso, differente. </p>"
alter,Fonseca,<b>Alter</b> -<b>eris</b> <br> <small>n.</small>   <p> <b>1</b> &ensp; <small>Mart.</small> &ensp; maça de chumbo para o exercicio da palestra. </p>
altus2,Fonseca,<b>Altus</b> -<b>a</b> -<b>um</b> -<b>tior</b> -<b>tissimus</b>
ambages,Fonseca,<b>Ambages</b> -<b>gum</b> -<b>gibus</b> <br> <small>f. plur.</small>
amicus,Fonseca,<b>Amicus</b> -<b>i</b> <br> <small>m.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; amigo. </p>
an,Fonseca,"<b>An</b> <br> <small>adv. de perguntar</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; por ventura. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>errauit, an potius insaniuit? &ensp; <small><small>Cic</small></small> &ensp; <small>Elle errou, ou mais de pressa enlouqueceo?</small> </p>"
ancisus,Fonseca,<b>Ancisus</b> -<b>us</b> <br> <small>m.</small>
animans,Fonseca,<b>Animans</b> -<b>antis</b> <br> <small>omn. gen.</small>
animus,Fonseca,"<b>Animus</b> -<b>i</b> <br> <small>m.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; animo, alma. <br> <b>2</b> &ensp; vontade, designio, tenção. <br> <b>3</b> &ensp; affecto, paixão. <br> <b>4</b> &ensp; valor. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>animi causa &ensp; <small><small>Cic</small></small> &ensp; <small>Por divertimento</small> <br> animis cadere &ensp; <small><small>Cic</small></small> &ensp; <small>Desanimar-se</small> <br> mi anime &ensp; <small><small>Plaut</small></small> &ensp; <small>Meu caro amigo, meu coração</small> </p>"
annus,Fonseca,<b>Annus</b> -<b>i</b> <br> <small>m.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; anno. <br> <b>2</b> &ensp; estação do anno. </p>
antecedo,Fonseca,<b>Antecedo</b> -<b>is</b> -<b>cessi</b> -<b>cessum</b> -<b>dere</b>
anthyllium,Fonseca,<b>Anthyllium</b> <small>l</small> -<b>ii</b> <small>l</small> <br> <small>n.</small>
aperio,Fonseca,<b>Aperio</b> -<b>is</b> -<b>rui</b> -<b>ertum</b> -<b>ire</b>
apis,Fonseca,<b>Apes</b> -<b>is</b> <br> <small>f.</small>
apiacus,Fonseca,<b>Apiacus</b> -<b>a</b> -<b>um</b>
adplicatus,Fonseca,<b>Applicitus</b> -<b>a</b> -<b>um</b> <br> <small>Col. part. de Applico</small>
adprehensus,Fonseca,<b>Apprensus</b> <small>&</small> -<b>a</b> <small>&</small> -<b>um</b> <br> <small>Stat. part. de Apprehendo.</small>
apud,Fonseca,"<b>Apud</b> <br> <small>prep. de accus.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; junto, ao pé. <br> <b>2</b> &ensp; diante. </p>"
archetypus,Fonseca,<b>Archetypus</b> -<b>a</b> -<b>um</b>
archium,Fonseca,<b>Archivum</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>n.</small>
arctos,Fonseca,<b>Arctus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>f.</small>
argutus,Fonseca,<b>Argutus</b> -<b>a</b> -<b>um</b> <br> <small>Plaut. part. de Arguo.</small>
arma,Fonseca,"<b>Arma</b> -<b>orum</b> <br> <small>n. plur.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; armas defensivas, e offensivas. <br> <b>2</b> &ensp; <small>Virg.</small> &ensp; guerra, combate. <br> <b>3</b> &ensp; instrumentos da mechanica de todas as artes, e officios. </p>"
armilustrium,Fonseca,<b>Armilustrum</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>n.</small>
armoracia,Fonseca,<b>Armoracia</b> -<b>ae</b> <br> <small>f.</small>
arteria,Fonseca,<b>Arteria</b> -<b>orum</b> <br> <small>n. plur.</small>
artifex,Fonseca,<b>Artifex</b> -<b>icis</b> <br> <small>omn. gen.</small>
adsecutus,Fonseca,<b>Assecutus</b> <small>l</small> -<b>a</b> <small>l</small> -<b>um</b> <br> <small>act. Cic. part. de Assequor.</small>
astytis,Fonseca,<b>Astytis</b> <small>l</small> -<b>idis</b> <small>l</small> <br> <small>f.</small>
at,Fonseca,"<b>At</b> <br> <small>conjunç.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; mas, porém, ao menos. </p>"
athera,Fonseca,<b>Athera</b> <small>l</small> -<b>ae</b> <small>l</small> <br> <small>f.</small>
atque,Fonseca,"<b>Atque</b> <br> <small>conj.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; e, do que, assim como. <br> <b>2</b> &ensp; <small>Virg.</small> &ensp; logo. <br> <b>3</b> &ensp; <small>Ter.</small> &ensp; com tudo. </p>"
attingo,Fonseca,<b>Attigo</b> -<b>is</b> -<b>gere</b>
audaciter,Fonseca,<b>Audacter</b> <br> <small>adv.</small>
audio,Fonseca,"<b>Audio</b> -<b>is</b> -<b>ivi</b> -<b>itum</b> -<b>ire</b>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; ouvir, escutar. <br> <b>2</b> &ensp; obedecer. <br> <b>3</b> &ensp; <small>Ter.</small> &ensp; perceber. </p>"
aulicus2,Fonseca,<b>Aulicus</b> -<b>i</b> <br> <small>m.</small>
aut,Fonseca,<b>Aut</b> <br> <small>conj.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; ou. </p>
autem,Fonseca,"<b>Autem</b> <br> <small>conj.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; mas, porém, pois. </p>"
babaecalus,Fonseca,<b>Babecalus</b> <small>vel</small> -<b>a</b> <small>vel</small> -<b>um</b>
Bacchanal,Fonseca,<b>Bacchanale</b> <small>l</small> -<b>lis</b> <small>l</small> <br> <small>n.</small>
barbitos,Fonseca,<b>Barbitos</b> -<b>i</b> <br> <small>m. Hor. f. Ovid.</small>
bardaicus,Fonseca,<b>Bardiacus</b> -<b>a</b> -<b>um</b>
batis,Fonseca,<b>Batis</b> -<b>idis</b> <br> <small>f.</small>
bellum,Fonseca,"<b>Bellum</b> -<b>i</b> <br> <small>n.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; guerra, estado ou tempo de guerra. <br> <b>2</b> &ensp; <small>Sall.</small> &ensp; combate, peleja. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>gerere bellum cum aliquo &ensp; <small><small>Cic</small></small> &ensp; <small>Andar em guerra com alguem, ou pelejar na companhia de alguem com as forças unidas</small> <br> indicere bellum uentri &ensp; <small><small>Hor</small></small> &ensp; <small>Declarar guerra ao ventre, isto he, não comer, nem beber</small> </p>"
bene,Fonseca,"<b>Bene</b> <br> <small>adv.</small>   <p> <b>1</b> &ensp; <small>Cic.</small> &ensp; bem, excellentemente. </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>bene mane &ensp; <small><small>Cic</small></small> &ensp; <small>Muito de madrugada</small> <br> bene nummatus &ensp; <small><small>Cic</small></small> &ensp; <small>Muito rico</small> </p>"
biblus,Fonseca,<b>Biblus</b> <small>l</small> -<b>i</b> <small>l</small> <br> <small>f.</small>
bidens,Fonseca,<b>Bidens</b> -<b>entis</b> <br> <small>m.</small>
bipennis,Fonseca,<b>Bipennis</b> -<b>is</b> <br> <small>f.</small>
