lemma,lila_id,entry_id,bibref,pdfurl,clpurl,pubyear,prefix,form_lemma,subClass,senseGroup,ontolex.canonicalForm,rdfs.label,PRE.note,lexinfo.note,skos.note,POS.note,form_pre,form_note
as,lilaLemma:90172,Cardoso1570.n02128.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,-<b>As</b> <b>assis</b>,ontolex:Word,Cardoso1570.n02128.sg01,lilaLemma:90172,as,,,,,,
que,lilaLemma:131416,Faria1994.n26527.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>-que</b>,,Faria1994.n26527.sg01,lilaLemma:131416,,,"conj. copulativa, enclítica = et.","Obs.: Partícula enclítica, ligando duas palavras ou membros de frase. Em geral, não se emprega depois de ab, ob, sub, apud, a, ad, mas: exque Cíc. Phil. 3, 38. Geralmente não se emprega depois de sic, tunc, nunc, huc, illuc, mas, raramente: hucque Tác. An. 13,37; tuncque Tác. An. 14, 15. Pode aparecer repetida: -que... -que Plaut. Rud. 369; Sal. B. Jug. 10. 2. Encontra-se também: -que ... et em lugar de et ... et Sal. B. Jug. 26, 1. Aparece: -que... atque Verg. G. 1, 182. A forma -qué alongada na cesura aparece em Verg. En. 3, 91.",,,"conj. copulativa, enclítica = et. <br> Obs.: Partícula enclítica, ligando duas palavras ou membros de frase. Em geral, não se emprega depois de ab, ob, sub, apud, a, ad, mas: exque Cíc. Phil. 3, 38. Geralmente não se emprega depois de sic, tunc, nunc, huc, illuc, mas, raramente: hucque Tác. An. 13,37; tuncque Tác. An. 14, 15. Pode aparecer repetida: -que... -que Plaut. Rud. 369; Sal. B. Jug. 10. 2. Encontra-se também: -que ... et em lugar de et ... et Sal. B. Jug. 26, 1. Aparece: -que... atque Verg. G. 1, 182. A forma -qué alongada na cesura aparece em Verg. En. 3, 91."
ab,lilaLemma:86824,Cardoso1570.n00001.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>A</b>,ontolex:Word,Cardoso1570.n00001.sg01,lilaLemma:86824,a,,praepositio cũ ablatiuo.,scribitur cũ accẽtu graui.,,,praepositio cũ ablatiuo. scribitur cũ accẽtu graui.
ab,lilaLemma:86824,Faria1994.n00003.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>a</b> <br> <b>ab</b> <br> <b>abs</b>,,Faria1994.n00003.sg01,lilaLemma:86824,,,prep. abl. e prev.,"Obs.: Como provérbio, ab- indica afastamento, ausência e Daí privação: abduco“levar para longe, afastar”; amens “privado da razão, louco”. Ab é empregada geralmente antes de vogal e de d, l, n, r, s e da semivogal i j; abs antes de t raro; a antes das demais consoantes. Entretanto no uso corrente, encontram-se exceções que mostram que essas regras não são de caráter absoluto. Em composição ab se emprega antes de vogal, de h e das consoantes d, l, n, r, s; abs antes de c, t; antes de p, abs reduz-se a as; a e a forma reduzida antes das bilabiais b, m.",,,"prep. abl. e prev. <br> Obs.: Como provérbio, ab- indica afastamento, ausência e Daí privação: abduco“levar para longe, afastar”; amens “privado da razão, louco”. Ab é empregada geralmente antes de vogal e de d, l, n, r, s e da semivogal i j; abs antes de t raro; a antes das demais consoantes. Entretanto no uso corrente, encontram-se exceções que mostram que essas regras não são de caráter absoluto. Em composição ab se emprega antes de vogal, de h e das consoantes d, l, n, r, s; abs antes de c, t; antes de p, abs reduz-se a as; a e a forma reduzida antes das bilabiais b, m."
ab,lilaLemma:86824,Velez1744.n0001.e01,"VELEZ, António. ‘Index totius artis.’ In: Emmanuelis Alvari S. J. De Institutione Grammatica Libri Tres. Eborae: Typographia Academiae, 1744. pp. 366–661.",http://purl.pt/14821,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=8&Edicao=9,1744,Velez,<b>A</b> <small>significaõ o mesmo</small> <b>Ab</b>,ontolex:Word,Velez1744.n0001.sg01,lilaLemma:86824,a,,praep.,,Fol. III. num. 15. & fol. 263. 30.,,praep.
ab,lilaLemma:86824,Cardoso1570.n00003.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Ab</b>,ontolex:Word,Cardoso1570.n00003.sg01,lilaLemma:86824,ab,,,,,,
ab,lilaLemma:86824,Fonseca1798.n00001.e01,"FONSECA, Pedro José. Parvum lexicum latinum lusitana interpretatione adjecta. Lisboa: Typographia Regia, 1798.",http://books.google.it/books?id=xZtEAAAAcAAJ,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=16&Edicao=17,1798,Fonseca,<b>Ab</b>,ontolex:Word,Fonseca1798.n00001.sg01,lilaLemma:86824,ab,,prepos. de ablat.,,,,prepos. de ablat.
abactus,lilaLemma:91165,Cardoso1570.n00008.e01,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>Abactus</b> <b>us</b>,ontolex:Word,Cardoso1570.n00008.sg01,lilaLemma:91165,abactus,,verbale.,,,,verbale.
ab,lilaLemma:86824,Cardoso1570.n00003.e02,"CARDOSO, Jerônimo. Dictionarium latino lusitanicum & vice versa lusitanico latinum. Coimbra: João de Barreira,1570.",http://purl.pt/14265,http://clp.dlc.ua.pt/DICIweb/default.asp?url=Obras&Livro=5&Edicao=5,1570,Cardoso,<b>abs</b>,ontolex:Word,Cardoso1570.n00003.sg01,lilaLemma:86824,abs,&,,,,&,
ab,lilaLemma:86824,Faria1994.n00138.e01,"FARIA, Ernesto. Dicionário Escolar Latino-Português. 6.ed.. ed. Rio de Janeiro: MEC-FAE, 1994.",https://archive.org/details/DicionarioEscolarLatinoPortuguesDoMecPorErnestoFaria1962,,1962,Faria,<b>abs</b>,,Faria1994.n00138.sg01,lilaLemma:86824,,,,"v. a, ab.",,,"v. a, ab."
