lemma,lila_id,source,entry_id,senseGroup,sense_prefix,sense_predef,sense_def,sense_posdef
iste,lilaLemma:109122,Faria,Faria1994.n17057.e01,Faria1994.n17057.sg01,1,"pl. n.: istaec Cíc. AI. 12, 18a, 2",“as coisas que dizes”.,
ordo,lilaLemma:115236,Faria,Faria1994.n21786.e01,Faria1994.n21786.sg01,10,"IV-Em expressões:-ordine T. Liv. 3, 50,4","“bem, segundo o rito, prudentemente”.",
uos,lilaIpoLemma:110488,Faria,Faria1994.n34208.e01,Faria1994.n34208.sg01,2,"Vobiscum Cíc. Rep., 1, 70",“convosco”.,
uoluntas,lilaLemma:130763,Faria,Faria1994.n34162.e01,Faria1994.n34162.sg01,8,III-Em expressões:-Voluntate,"“livremente, espontaneamente”","T. Lív. 29, 38, 1."
nihil,lilaLemma:114071,Faria,Faria1994.n20517.e01,Faria1994.n20517.sg01,4,I-Expressões particulares:-Nihilo mais comp.,“nada mais”:,
abeo,lilaLemma:86873,Faria,Faria1994.n00060.e01,Faria1994.n00060.sg01,1,"Ter. Heaut, 249","“vai-te, pois.”",
uenio,lilaLemma:129790,Faria,Faria1994.n33504.e01,Faria1994.n33504.sg01,1,,«chegou-se».,
ars,lilaLemma:90089,Faria,Faria1994.n02928.e01,Faria1994.n02928.sg01,7,No pl.:,«obras de arte»,"Cíc. Leg. 2,4."
aqua,lilaLemma:89692,Cardoso,Cardoso1570.n01796.e01,Cardoso1570.n01796.sg01,1,,a agoa,
anima,lilaLemma:89075,Velez,Velez1744.n0297.e01,Velez1744.n0297.sg01,1,,"a alma, ou folego, vida, ou vento",
corpus,lilaLemma:96667,Faria,Faria1994.n07899.e01,Faria1994.n07899.sg01,10,II-Sent. poético:,"A alma, sombra","dos mortos Verg. En. 6, 303."
anima,lilaLemma:89075,Cardoso,Cardoso1570.n01444.e01,Cardoso1570.n01444.sg01,1,,a alma. ou bafo,
ars,lilaLemma:90089,Cardoso,Cardoso1570.n02093.e01,Cardoso1570.n02093.sg01,1,,a arte. ou officio. ou engano,
arbor,lilaLemma:89780,Velez,Velez1744.n0356.e01,Velez1744.n0356.sg01,1,,a arvore,
