lemma,prefix,fullEntry
ab,Velez,"<b>A</b> <small>significaõ o mesmo</small> <b>Ab</b> <br> <small>praep.</small>   <p> <b>2</b> &ensp; <small>interdum ponitur A pro Post</small> <br> <b>3</b> &ensp; <small>quandoque ponitur Ab pro Praeter, sive Contra</small> <br> <b>4</b> &ensp; <small>a, praeposita nominibus officiorum, & dignitatum eos significat, qui iis officiis, vel dignitatibus funguntur</small> <br> <b>5</b> &ensp; <small>a, vel Ab, cum ablativo personae eleganter domicilium ejusdem personae significat</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>2</b><br>a coena &ensp; <small>depois da cea</small> <br> a Romanis tuba canere coeperunt &ensp; <small>da parte dos Romanos, etc</small> <br> a tergo &ensp; <small><small>id est, post tergum, retrò</small></small> <br> ab aliquo soluo, persoluo, do, numero, repraesento, uel suppedito &ensp; <small>faço, que outrem pague por mim, o que devo</small> <br> ab aliquo stare, facere, uel dicere &ensp; <small>estar pela parte de alguem ajudando-o, ou defendendo-o</small> <br> <br><b>3</b><br>ab re &ensp; <small><small>id est, praeter, sive contra utilitatem, vel sine utilitate</small></small> <br> <br><b>4</b><br>a pedibus &ensp; <small>os creados, ou moços de serviço</small> <br> a secreto, siue a secretis &ensp; <small>o Secretario</small> &ensp; <small><small>& sic de aliis</small></small> <br> serui a manibus, siue a manu &ensp; <small>os escreventes</small> &ensp; <small><small>qui etiam dicuntur Amanuenses</small></small> <br> <br><b>5</b><br>a iudice uenio &ensp; <small>venho de caza do juiz</small> <br> <br><b>X</b><br>a Deo &ensp; <small>de Deos</small> <br> a puero &ensp; <small>desde menino</small> <br> ab initio &ensp; <small>desde o principio</small> </p>"
ab,Velez,<b>Abs</b> <br> <small>praep.</small>   <p> <b>1</b> &ensp; de </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>abs quouis homine &ensp; <small>de qualquer homem</small> <br> caueo mihi abs te caute &ensp; <small>acautelo-me muito de vós</small> </p>
atque,Velez,"<b>Ac</b> <br> <small>conjunct.</small>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>doctus, ac iustus &ensp; <small>douto, e justo</small> </p>"
atque,Velez,<b>Ac</b> <br> <small>Adverb.</small>
accipio,Velez,"<b>Accipio</b> -<b>is</b>   <p> <b>1</b> &ensp; tomar, receber, ouvir ou entender </p>   <p><small>[EXEMPLOS]</small><br> <br><b>X</b><br>acceptum aliquid referre &ensp; <small>confessar ter recebido alguma cousa de alguem</small> <br> accipere aliquem hospitio &ensp; <small>hospedar</small> <br> magnifice, ac festiue accepti sumus &ensp; <small>fomos bem agasalhados</small> <br> miseris aliquem accipere modis &ensp; <small>tratar a alguem mal</small> </p>"
acus2,Velez,<b>Acus</b> -<b>aci</b>
ad,Velez,"<b>Ad</b> <br> <small>praepos.</small>   <p> <b>1</b> &ensp; para perto, ou junto <br> <b>2</b> &ensp; <small>ponitur & pro Usque ad</small> <br> <b>3</b> &ensp; <small>aliquando significat officium</small> </p>   <p><small>[EXEMPLOS]</small><br> <br><b>1</b><br>ad dece annos &ensp; <small><small>i, post</small></small> <br> ad haec mala hoc mihi accedit etiam &ensp; <small><small>i, praeter</small></small> <br> ad me fuit bene mane &ensp; <small>esteve comigo, ou em minha casa muito cedo</small> <br> ad Senatorem relicti &ensp; <small><small>i, domi Senatoris</small></small> <br> crux, quae posita est ad portum &ensp; <small><small>i, prope portum</small></small> <br> cum boues ad desiderium relictarum mugissent &ensp; <small><small>i, propter, vel prae desiderio</small></small> <br> magnificus ad speciem ornatus &ensp; <small><small>i, quantùm ad speciem</small></small> <br> taleta ad quindecim coegi &ensp; <small><small>i, circiter</small></small> <br> <br><b>2</b><br>ad eum nuncium commoti sunt omnes &ensp; <small><small>i, audito eo nuntio</small></small> <br> ad extremum, ad postremum, ad ultimum &ensp; <small><small>i, denique, vel postremò</small></small> <br> ad integrum &ensp; <small><small>i, integrè</small></small> <br> ad liquidum ueritas explorata &ensp; <small>diliquidou-se a verdade</small> <br> ad multam noctem, ad uesperum <br> ad unguem &ensp; <small><small>i, exquisitâ diligentiâ, & curâ exactissimâ</small></small> <br> ad unum omnes &ensp; <small><small>i, nullo excepto</small></small> <br> latebo ad tempus &ensp; <small><small>i, usque tempus quoddam</small></small> <br> sententia ad uerbum translata &ensp; <small><small>i, de verbo ad verbum</small></small> <br> <br><b>3</b><br>ad cyathos stare dicuntur pincernae &ensp; <small>os copeiros</small> <br> ad limina custos &ensp; <small>o porteiro</small> <br> ad manus seruus &ensp; <small><small>qui & à manu</small></small> <br> homines ad lecticam &ensp; <small>os leiteiros</small> </p>"
agnascor,Velez,<b>Adnascor</b>
adolescens,Velez,<b>Adolescens</b> -<b>tis</b>
aduersus,Velez,<b>adversùm</b>
