lemma,lila_id,label,upostag,lila_uri,upostag_pt,fl_cat_pt,gen_pt,number_pt,grade_pt,wrList,var_key,ipo_desc,ipo_lemmaKey,dcc_semGrp,dcc_freqRank,LogeionURL
aliter,lilaLemma:28966,aliter,ADV,http://lila-erc.eu/data/id/lemma/28966,advérbio,indeclinável,,,,,,,,,782,https://logeion.uchicago.edu/aliter
fore,lilaLemma:52877,fore,VERB,http://lila-erc.eu/data/id/lemma/52877,verbo,irregular,,,,,,,,Vida e Existência,985,https://logeion.uchicago.edu/fore
maiores,lilaLemma:63256,maiores,NOUN,http://lila-erc.eu/data/id/lemma/63256,substantivo,3ª declinação (sem vogal temática),masculino,plural,,,,,,Família,764,https://logeion.uchicago.edu/maiores
princeps,lilaLemma:73416,princeps,NOUN,http://lila-erc.eu/data/id/lemma/73416,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Cidade,317,https://logeion.uchicago.edu/princeps
senex,lilaLemma:80013,senex,NOUN,http://lila-erc.eu/data/id/lemma/80013,substantivo,3ª declinação (sem vogal temática),masculino,,,,,,,Pessoas,558,https://logeion.uchicago.edu/senex
seu,lilaLemma:80438,seu,CCONJ,http://lila-erc.eu/data/id/lemma/80438,conjunção coordenativa,indeclinável,,,,,,,,,343,https://logeion.uchicago.edu/seu
siue2,lilaLemma:80949,siue,CCONJ,http://lila-erc.eu/data/id/lemma/80949,conjunção coordenativa,indeclinável,,,,,,,,,362,https://logeion.uchicago.edu/siue
superi,lilaLemma:83429,superi,NOUN,http://lila-erc.eu/data/id/lemma/83429,substantivo,2ª declinação (tema em -o-),masculino,plural,,,,,,Religião,714,https://logeion.uchicago.edu/superi
unus,lilaLemma:85636,unus,DET,http://lila-erc.eu/data/id/lemma/85636,determinante,"1ª classe, pronominal (tema em -a/o-)",,,,,,,,Medidas,53,https://logeion.uchicago.edu/unus
ab,lilaLemma:86824,ab,ADP,http://lila-erc.eu/data/id/lemma/86824,preposição,indeclinável,,,,"a, abs, af, aps",,,,Lugar,21,https://logeion.uchicago.edu/ab
abeo,lilaLemma:86873,abeo,VERB,http://lila-erc.eu/data/id/lemma/86873,verbo,irregular,,,,,,,,Movimento,553,https://logeion.uchicago.edu/abeo
absum,lilaLemma:87040,absum,VERB,http://lila-erc.eu/data/id/lemma/87040,verbo,irregular,,,,apsum,,,,Viagem,445,https://logeion.uchicago.edu/absum
accedo,lilaLemma:87084,accedo,VERB,http://lila-erc.eu/data/id/lemma/87084,verbo,3ª conjugação (sem vogal temática),,,,adcedo,,,,Movimento,614,https://logeion.uchicago.edu/accedo
accido,lilaLemma:87112,accido,VERB,http://lila-erc.eu/data/id/lemma/87112,verbo,3ª conjugação (sem vogal temática),,,,"accado, accedo",,,,Movimento,799,https://logeion.uchicago.edu/accido
accipio,lilaLemma:87119,accipio,VERB,http://lila-erc.eu/data/id/lemma/87119,verbo,5ª conjugação (tema em -ĭ- breve),,,,,,,,Sociedade,110,https://logeion.uchicago.edu/accipio
acer,lilaLemma:87184,acer,ADJ,http://lila-erc.eu/data/id/lemma/87184,adjetivo,2ª classe (tema em -i-),,,,,,,,,587,https://logeion.uchicago.edu/acer
acies,lilaLemma:87231,acies,NOUN,http://lila-erc.eu/data/id/lemma/87231,substantivo,5ª declinação (tema em -e-),feminino,,,,,,,Guerra e Paz,439,https://logeion.uchicago.edu/acies
ad,lilaLemma:87344,ad,ADP,http://lila-erc.eu/data/id/lemma/87344,preposição,indeclinável,,,,"ar, at",,,,Lugar,14,https://logeion.uchicago.edu/ad
addo,lilaLemma:87401,addo,VERB,http://lila-erc.eu/data/id/lemma/87401,verbo,3ª conjugação (sem vogal temática),,,,,,,,Sociedade,433,https://logeion.uchicago.edu/addo
adduco,lilaLemma:87410,adduco,VERB,http://lila-erc.eu/data/id/lemma/87410,verbo,3ª conjugação (sem vogal temática),,,,,,,,Verbo diretivo ou promissivo,886,https://logeion.uchicago.edu/adduco
at,lilaLemma:87415,at,CCONJ,http://lila-erc.eu/data/id/lemma/87415,conjunção coordenativa,indeclinável,,,,ad,,,,,74,https://logeion.uchicago.edu/at
adeo,lilaLemma:87420,adeo,ADV,http://lila-erc.eu/data/id/lemma/87420,advérbio,indeclinável,,,,ateo,,,,,555,https://logeion.uchicago.edu/adeo
