lemma,lila_id,wr,phon
ab,lilaLemma:86824,a,ā
ab,lilaLemma:86824,absque,absquĕ
accipio,lilaLemma:87119,accepi,accēpī
accipio,lilaLemma:87119,accipio,accĭpĭō
accipio,lilaLemma:87119,accipis,accĭpis
accipio,lilaLemma:87119,accipere,accĭpĕre
accipio,lilaLemma:87119,accepi,accēpī
ago,lilaLemma:88140,egi,ēgī
ago,lilaLemma:88140,ago,ăgō
ago,lilaLemma:88140,ago,ăgō
ago,lilaLemma:88140,agis,ăgis
ago,lilaLemma:88140,agere,ăgĕre
ago,lilaLemma:88140,egi,ēgī
aliquis,lilaLemma:91108,aliquis,ălĭquis
aliquis,lilaLemma:91108,aliqua,ălĭquă
aliquis,lilaLemma:91108,aliquid,ălĭquĭd
alius,lilaLemma:88481,alius,ălĭus
alius,lilaLemma:88481,alia,ălĭa
alius,lilaLemma:88481,aliud,ălĭud
alter,lilaLemma:88457,alter,altĕr
alter,lilaLemma:88457,altera,altĕra
alter,lilaLemma:88457,alterum,altĕrum
amicus,lilaLemma:88684,amicus,ămīcus
amicus,lilaLemma:88684,amici,ămīcī
an,lilaLemma:88828,anne,annĕ
animus,lilaLemma:89094,animus,ănĭmus
animus,lilaLemma:89094,animi,ănĭmī
annus,lilaLemma:89129,anni,annī
apud,lilaLemma:89686,apud,ăpŭd
arma,lilaLemma:89998,armorum,armōrum
at,lilaLemma:87415,at,ăt
atque,lilaLemma:90490,atque,atquĕ
audio,lilaLemma:90641,audio,audĭō
audio,lilaLemma:90641,audis,audīs
audio,lilaLemma:90641,audire,audīre
audio,lilaLemma:90641,audivi,audīvī
audio,lilaLemma:90641,auditum,audītum
bellum,lilaLemma:91461,duelli,duellī
bellum,lilaLemma:91461,belli,bellī
bene,lilaLemma:91473,bene,bĕnĕ
bene,lilaLemma:91473,melius,mĕlĭus
bene,lilaLemma:91473,optime,optĭmē
bonum,lilaLemma:91351,bonum,bŏnum
bonum,lilaLemma:91351,boni,bŏnī
bonus,lilaLemma:91782,bonus,bŏnus
bonus,lilaLemma:91782,bona,bŏna
bonus,lilaLemma:91782,bonum,bŏnum
bonus,lilaLemma:91782,melior,melĭor
bonus,lilaLemma:91782,optimus,optĭmus
Caesar,lilaLemma:1947,Caesar,Caesăr
Caesar,lilaLemma:1947,Caesaris,Caesăris
capio,lilaLemma:92686,cepi,cēpī
capio,lilaLemma:92686,capio,căpĭō
capio,lilaLemma:92686,capis,căpis
capio,lilaLemma:92686,capere,căpĕre
capio,lilaLemma:92686,cepi,cēpī
castra,lilaLemma:138599,castrorum,castrōrum
causa,lilaLemma:93253,causa,causā
ceterus,lilaLemma:93624,ceterus,cētĕrus
ceterus,lilaLemma:93624,cetera,cētĕra
ceterus,lilaLemma:93624,ceterum,cētĕrum
ciuis,lilaLemma:94399,civis,cīvis
ciuis,lilaLemma:94399,civis,cīvis
ciuitas,lilaLemma:94400,civitas,cīvĭtās
ciuitas,lilaLemma:94400,civitatis,cīvĭtātis
cognosco,lilaLemma:94738,cognosco,cognoscō
cognosco,lilaLemma:94738,cognoscere,cognoscĕre
cognosco,lilaLemma:94738,cognovi,cognōvī
cognosco,lilaLemma:94738,cognitum,cognĭtum
consilium,lilaLemma:96060,consilium,consĭlĭum
consilium,lilaLemma:96060,consilii,consĭlĭī
consul,lilaLemma:96181,consul,consŭl
consul,lilaLemma:96181,consulis,consŭlis
corpus,lilaLemma:96667,corporis,corpŏris
credo,lilaLemma:96881,credidi,crēdĭdī
credo,lilaLemma:96881,credo,crēdō
credo,lilaLemma:96881,credis,crēdis
credo,lilaLemma:96881,credere,crēdĕre
