lemma,lila_id,orth_form,cell,cell_pt
accipio,lilaLemma:87119,accipio,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
accipio,lilaLemma:87119,accipere,prs.act.inf,presente | infinitivo | ativo
accipio,lilaLemma:87119,accipiet,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
accipio,lilaLemma:87119,accepi,prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
accipio,lilaLemma:87119,acceptum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
accipio,lilaLemma:87119,accepturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
ago,lilaLemma:88140,ago,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
ago,lilaLemma:88140,agere,prs.act.inf,presente | infinitivo | ativo
ago,lilaLemma:88140,aget,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
ago,lilaLemma:88140,egi,prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
ago,lilaLemma:88140,actum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
ago,lilaLemma:88140,acturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
audio,lilaLemma:90641,audio,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
audio,lilaLemma:90641,audire,prs.act.inf,presente | infinitivo | ativo
audio,lilaLemma:90641,audiet,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
audio,lilaLemma:90641,"audiui, audii",prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
audio,lilaLemma:90641,auditum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
audio,lilaLemma:90641,auditurum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
capio,lilaLemma:92686,"capio, kapio",prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
capio,lilaLemma:92686,"capere, kapere",prs.act.inf,presente | infinitivo | ativo
capio,lilaLemma:92686,"capiet, kapiet",fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
capio,lilaLemma:92686,cepi,prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
capio,lilaLemma:92686,captum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
capio,lilaLemma:92686,capturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
cognosco,lilaLemma:94738,cognosco,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
cognosco,lilaLemma:94738,cognoscere,prs.act.inf,presente | infinitivo | ativo
cognosco,lilaLemma:94738,cognoscet,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
cognosco,lilaLemma:94738,"cognoui, cognoi",prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
cognosco,lilaLemma:94738,"cognitum, cognotum",prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
cognosco,lilaLemma:94738,cogniturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
credo,lilaLemma:96881,"credo, creduo",prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
credo,lilaLemma:96881,"credere, creduere",prs.act.inf,presente | infinitivo | ativo
credo,lilaLemma:96881,"credet, creduet",fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
credo,lilaLemma:96881,credidi,prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
credo,lilaLemma:96881,creditum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
credo,lilaLemma:96881,crediturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
debeo,lilaLemma:97963,debeo,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
debeo,lilaLemma:97963,debere,prs.act.inf,presente | infinitivo | ativo
debeo,lilaLemma:97963,debebit,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
debeo,lilaLemma:97963,debui,prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
debeo,lilaLemma:97963,debitum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
debeo,lilaLemma:97963,debiturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
dico,lilaLemma:99302,"deico, dico",prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
dico,lilaLemma:99302,"deicere, dicere",prs.act.inf,presente | infinitivo | ativo
dico,lilaLemma:99302,"deicet, dicet",fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
dico,lilaLemma:99302,"deixi, dixi, deixsi",prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
dico,lilaLemma:99302,dictum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
dico,lilaLemma:99302,dicturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
do,lilaLemma:99970,do,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
do,lilaLemma:99970,dare,prs.act.inf,presente | infinitivo | ativo
do,lilaLemma:99970,dabit,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
do,lilaLemma:99970,dedi,prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
do,lilaLemma:99970,datum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
do,lilaLemma:99970,daturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
eo,lilaLemma:101183,eo,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
eo,lilaLemma:101183,ire,prs.act.inf,presente | infinitivo | ativo
eo,lilaLemma:101183,ibit,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
eo,lilaLemma:101183,"iui, ii",prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
eo,lilaLemma:101183,itum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
eo,lilaLemma:101183,iturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
facio,lilaLemma:102758,facio,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
facio,lilaLemma:102758,facere,prs.act.inf,presente | infinitivo | ativo
facio,lilaLemma:102758,faciet,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
facio,lilaLemma:102758,"feci, fecei",prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
facio,lilaLemma:102758,factum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
facio,lilaLemma:102758,facturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
fero,lilaLemma:103126,fero,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
fero,lilaLemma:103126,ferre,prs.act.inf,presente | infinitivo | ativo
fero,lilaLemma:103126,feret,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
fero,lilaLemma:103126,"tuli, tetuli, toli",prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
fero,lilaLemma:103126,latum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
fero,lilaLemma:103126,laturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
fio,lilaLemma:103328,fio,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
fio,lilaLemma:103328,fieri,prs.act.inf,presente | infinitivo | ativo
fio,lilaLemma:103328,fiet,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
fio,lilaLemma:103328,fitum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
gero,lilaLemma:104536,gero,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
gero,lilaLemma:104536,gerere,prs.act.inf,presente | infinitivo | ativo
gero,lilaLemma:104536,geret,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
gero,lilaLemma:104536,gessi,prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
gero,lilaLemma:104536,gestum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
gero,lilaLemma:104536,gesturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
habeo,lilaLemma:105044,habeo,prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
habeo,lilaLemma:105044,habere,prs.act.inf,presente | infinitivo | ativo
habeo,lilaLemma:105044,habebit,fut.act.ind.3.sg,futuro | indicativo | 3ª pessoa singular | voz ativa
habeo,lilaLemma:105044,habui,prf.act.ind.1.sg,pretérito perfeito | indicativo | 1ª pessoa singular | voz ativa
habeo,lilaLemma:105044,habitum,prf.pass.ptcp.nom.n.sg,particípio passado | nominativo neutro singular
habeo,lilaLemma:105044,habiturum,fut.act.ptcp.nom.n.sg,particípio futuro | nominativo neutro singular
inquam,lilaLemma:108033,"inquam, inquio",prs.act.ind.1.sg,presente | indicativo | 1ª pessoa singular | voz ativa
