lemma,definition,lila_id,synset_id,sem_type,lexemes_pt,own_pt_gloss,argumentSet
primus,indicating the beginning unit in a series,lilaLemma:119498,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02202047-s"" target=""_blank"">02202047-s</a></small></small><br>",,"<small><small>lexemas:</small></small>&ensp;1º, primeiro<br>",<small><small>conceito:</small>&ensp;indicando a unidade inicial de uma série</small><br>,
duo,being one more than one,lilaLemma:100246,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02186470-s"" target=""_blank"">02186470-s</a></small></small><br>",,"<small><small>lexemas:</small></small>&ensp;2, dois<br>",,
mitto,"forsake, leave behind",lilaLemma:112499,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02228031-v"" target=""_blank"">02228031-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,<small><small>lexemas:</small></small>&ensp;abandonar<br>,,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
do,part with a possession or right,lilaLemma:99970,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02316304-v"" target=""_blank"">02316304-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;abandonar, deixar, desistir, desobrigar, liberar, renunciar<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,ADDR] ou [ACT,PAT,ADDR] ou [ACT,PAT,ORIG]</small></small><br>"
relinquo,leave someone who needs or counts on you; leave in the lurch,lilaLemma:122569,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00614057-v"" target=""_blank"">00614057-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;abandonar, desamparar, desertar<br>",<small><small>conceito:</small>&ensp;deixar alguém que precisa ou conta com você; deixar na mão</small><br>,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,ORIG] ou [ACT,EFF,PAT]</small></small><br>"
pono,stop maintaining or insisting on; of ideas or claims,lilaLemma:118414,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00613393-v"" target=""_blank"">00613393-v</a></small></small><br>",<small><small>categoria:&ensp;cognição</small></small><br>,"<small><small>lexemas:</small></small>&ensp;abandonar, desistir, largar mão<br>",<small><small>conceito:</small>&ensp;parar de manter ou insistir em; idéias ou reivindicações</small><br>,"<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
fero,"give what is desired or needed, especially support, food or sustenance",lilaLemma:103126,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01182709-v"" target=""_blank"">01182709-v</a></small></small><br>",<small><small>categoria:&ensp;consumo</small></small><br>,"<small><small>lexemas:</small></small>&ensp;abastecer, fornecer, prover, provisionar, servir<br>","<small><small>conceito:</small>&ensp;dar o que é desejado ou necessário, especialmente apoio, alimento ou sustento</small><br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT,PAT,ADDR]</small></small><br>"
do,give something useful or necessary to,lilaLemma:99970,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02327200-v"" target=""_blank"">02327200-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;abastecer, fornecer, prover, suprir<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,ADDR] ou [ACT,MEANS,PAT]</small></small><br>"
facio,give something useful or necessary to,lilaLemma:102758,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02327200-v"" target=""_blank"">02327200-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;abastecer, fornecer, prover, suprir<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,ADDR] ou [ACT,MEANS,PAT]</small></small><br>"
pono,give something useful or necessary to,lilaLemma:118414,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=02327200-v"" target=""_blank"">02327200-v</a></small></small><br>",<small><small>categoria:&ensp;posse</small></small><br>,"<small><small>lexemas:</small></small>&ensp;abastecer, fornecer, prover, suprir<br>",,"<small><small>valências:&ensp;[ACT,PAT] ou [ACT,EFF,PAT] ou [ACT,ADDR,PAT] ou [ACT,PAT,ADDR] ou [ACT,MEANS,PAT]</small></small><br>"
