lemma,lila_id,synset_id,sem_type,definition_pt,lexemes_pt,argumentSet
acies,lilaLemma:87231,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00877625-n"" target=""_blank"">00877625-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;uma olhada rápida</small><br>,"<small><small>lexemas:</small></small>&ensp;mirada, olhada, olhadela, relance, olhar<br>","<small><small>valências:&ensp;[ACT,PAT]</small></small><br>"
acies,lilaLemma:87231,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00953559-n"" target=""_blank"">00953559-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;um encontro hostil de forças militares opostas, no curso de uma guerra</small><br>","<small><small>lexemas:</small></small>&ensp;batalha, combate, luta, ação, batalhar, combater, conflito, enfrentar, lidar, lutar, peleja, pelejar<br>","<small><small>valências:&ensp;[ACT] ou [ACT,PAT]</small></small><br>"
agmen,lilaLemma:88106,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00296585-n"" target=""_blank"">00296585-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;a ação do grupo de um conjunto de pessoas, animais ou veículos em movimento à frente na formação mais ou menos regular</small><br>","<small><small>lexemas:</small></small>&ensp;procissão, romaria<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
agmen,lilaLemma:88106,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00290579-n"" target=""_blank"">00290579-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de marcha; caminhando com passos regulares (especialmente em uma procissão de algum tipo)</small><br>,"<small><small>lexemas:</small></small>&ensp;marcha, andamento, passeata<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
amicitia,lilaLemma:89461,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=01081456-n"" target=""_blank"">01081456-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;o ato de formar uma aliança ou confederação</small><br>,"<small><small>lexemas:</small></small>&ensp;aliança, confederação<br>",<small><small>valências:&ensp;[ACT]</small></small><br>
anima,lilaLemma:89075,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00836537-n"" target=""_blank"">00836537-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;fôlego</small><br>,<small><small>lexemas:</small></small>&ensp;respiração<br>,
anima,lilaLemma:89075,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00831191-n"" target=""_blank"">00831191-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;o processo corporal de inalação e exalação, o processo de tomada de oxigênio do ar inspirado e liberando dióxido de carbono por exalação</small><br>","<small><small>lexemas:</small></small>&ensp;respiração, fôlego<br>","<small><small>valências:&ensp;[ACT,PAT] ou [ACT]</small></small><br>"
animus,lilaLemma:89094,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00163233-n"" target=""_blank"">00163233-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;um ato de intenção; uma volição que você pretende realizar</small><br>,<small><small>lexemas:</small></small>&ensp;intenção<br>,"<small><small>valências:&ensp;[ACT] ou [ACT,PAT]</small></small><br>"
annus,lilaLemma:89129,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00295172-n"" target=""_blank"">00295172-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,"<small><small>definição:</small>&ensp;movimento, uma vez em torno de um curso</small><br>","<small><small>lexemas:</small></small>&ensp;ciclo, circuito, círculo, volta<br>","<small><small>valências:&ensp;[ACT] ou [ACT,PAT]</small></small><br>"
arx,lilaLemma:90170,"<small><small>synset_id:&ensp;<a href=""https://www.openwordnet-pt.org/synset?id=00954311-n"" target=""_blank"">00954311-n</a></small></small><br>",<small><small>categoria:&ensp;ação</small></small><br>,<small><small>definição:</small>&ensp;(militar) ação militar ou recursos protegendo um país contra inimigos em potencial</small><br>,"<small><small>lexemas:</small></small>&ensp;defesa, proteção<br>",
