lemma,lila_id,synset_id,sem_type,definition_pt,lexemes_pt
accipio,lilaLemma:87119,02436349-v,relação social,"[be in charge of, act on, or dispose of]",cuidar
accipio,lilaLemma:87119,02436349-v,relação social,"[be in charge of, act on, or dispose of]",guiar
accipio,lilaLemma:87119,02436349-v,relação social,"[be in charge of, act on, or dispose of]",lidar
accipio,lilaLemma:87119,02436349-v,relação social,"[be in charge of, act on, or dispose of]",manejar
accipio,lilaLemma:87119,02436349-v,relação social,"[be in charge of, act on, or dispose of]",tratar
accipio,lilaLemma:87119,01540844-v,contato,aceite,aceitar
accipio,lilaLemma:87119,01540844-v,contato,aceite,recolher
accipio,lilaLemma:87119,00593522-v,cognição,acredito ser o caso,entender
accipio,lilaLemma:87119,00593522-v,cognição,acredito ser o caso,inferir
accipio,lilaLemma:87119,00593522-v,cognição,acredito ser o caso,deduzir
accipio,lilaLemma:87119,02210119-v,posse,[get something; come into possession of],receber
accipio,lilaLemma:87119,02210119-v,posse,[get something; come into possession of],ter
accipio,lilaLemma:87119,02107248-v,percepção,Registo (perceptual input),captar
accipio,lilaLemma:87119,02107248-v,percepção,Registo (perceptual input),pegar
accipio,lilaLemma:87119,02107248-v,percepção,Registo (perceptual input),receber
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],adquirir
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],comprar
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],obter
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],receber
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],alcançar
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],atingir
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],conseguir
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],haver
accipio,lilaLemma:87119,02210855-v,posse,[come into the possession of something concrete or abstract],tomar
accipio,lilaLemma:87119,00624476-v,cognição,interpretar algo de uma certa maneira; transmitir um significado ou impressão particular,ler
accipio,lilaLemma:87119,00624476-v,cognição,interpretar algo de uma certa maneira; transmitir um significado ou impressão particular,entender
accipio,lilaLemma:87119,00588221-v,cognição,pegar o sentido de algo,compreender
accipio,lilaLemma:87119,00588221-v,cognição,pegar o sentido de algo,entender
accipio,lilaLemma:87119,00636574-v,cognição,razão por dedução; estabelecer por dedução,concluir
accipio,lilaLemma:87119,00636574-v,cognição,razão por dedução; estabelecer por dedução,deduzir
accipio,lilaLemma:87119,00636574-v,cognição,razão por dedução; estabelecer por dedução,depreender
accipio,lilaLemma:87119,00636574-v,cognição,razão por dedução; estabelecer por dedução,inferir
accipio,lilaLemma:87119,00686447-v,cognição,considerar ou manter como verdadeiro,aceitar
accipio,lilaLemma:87119,00623151-v,cognição,fazer sentido; atribuir um significado à,compreender
accipio,lilaLemma:87119,00623151-v,cognição,fazer sentido; atribuir um significado à,entender
accipio,lilaLemma:87119,00623151-v,cognição,fazer sentido; atribuir um significado à,construir
accipio,lilaLemma:87119,00623151-v,cognição,fazer sentido; atribuir um significado à,interpretar
accipio,lilaLemma:87119,00623151-v,cognição,fazer sentido; atribuir um significado à,ver
accipio,lilaLemma:87119,02315938-v,posse,[receive from a predecessor],herdar
accipio,lilaLemma:87119,00597915-v,cognição,adquirir conhecimentos ou habilidades,adquirir
accipio,lilaLemma:87119,00597915-v,cognição,adquirir conhecimentos ou habilidades,aprender
accipio,lilaLemma:87119,00065639-v,corpo,ser acometido de lesões e doenças,contrair
accipio,lilaLemma:87119,00065639-v,corpo,ser acometido de lesões e doenças,sofrer
accipio,lilaLemma:87119,00065639-v,corpo,ser acometido de lesões e doenças,ter
accipio,lilaLemma:87119,02237206-v,posse,[accept gladly],acolher
accipio,lilaLemma:87119,02237206-v,posse,[accept gladly],sediar
accipio,lilaLemma:87119,02236124-v,posse,A única garota que o aceitaria era a filha do moleiro,aceitar
accipio,lilaLemma:87119,02236124-v,posse,A única garota que o aceitaria era a filha do moleiro,topar
accipio,lilaLemma:87119,02236124-v,posse,A única garota que o aceitaria era a filha do moleiro,querer
