lemma,collocate,pos,LogL,LR,MI,LogDice,allMethods,score,scoreADJ,scoreSUBST,scoreADV,scoreVERB,scoreFUNC
ab,tu,pronome,187.3,2.2,2,11.1,202.6,40,0,0,0,0,0
ab,ego,pronome,171.8,2,1.9,11.1,186.8,40,0,0,0,0,0
ab,is,determinante,124.9,1.6,1.6,10.9,139,40,0,0,0,0,0
ab,uos,pronome,93.6,2.8,2.4,10.6,109.4,30,0,0,0,0,0
ab,sui,pronome,48.3,1.6,1.5,10.5,61.9,30,0,0,0,0,0
ab,qui,pronome,25.3,0.7,0.9,10.4,37.3,20,0,0,0,0,0
ab,hic,determinante,28.7,0.9,1.1,10.4,41.1,20,0,0,0,0,0
ab,ille,determinante,22.1,1,1.1,10.3,34.5,20,0,0,0,0,0
ab,senatus,substantivo,57.1,2.5,2.2,10.3,72.1,30,0,30,0,0,0
ab,nos,pronome,42,2,1.8,10.3,56.1,20,0,0,0,0,0
ab,iste,determinante,28.5,1.8,1.7,10.1,42.1,20,0,0,0,0,0
ab,longe,advérbio,73.2,4.1,3.2,10,90.5,30,0,0,30,0,0
ab,omnis,determinante,7,0.7,0.9,10,18.6,10,0,0,0,0,0
ab,ipse,determinante,10.6,1,1.1,9.9,22.6,20,0,0,0,0,0
ab,Caesar,nome próprio,26.4,2,1.8,9.9,40.1,20,0,0,0,0,0
ab,hostis,substantivo,27.8,2.1,1.9,9.9,41.7,20,0,20,0,0,0
ab,maiores,substantivo,59.9,4,3.1,9.9,76.9,30,0,30,0,0,0
ab,amicus,substantivo,26.9,2.3,2,9.8,41,20,0,20,0,0,0
ab,pater,substantivo,19,2,1.8,9.6,32.4,20,0,20,0,0,0
ab,quintus,substantivo,28.6,2.7,2.3,9.6,43.2,20,0,20,0,0,0
ab,alius,determinante,7.4,1.1,1.2,9.6,19.3,20,0,0,0,0,0
ab,Marcus,nome próprio,17.9,2.2,2,9.4,31.5,20,0,0,0,0,0
ab,se,pronome,19,2.5,2.1,9.4,33,20,0,0,0,0,0
ab,peto,verbo,9.2,1.7,1.6,9.2,21.7,20,0,0,0,20,0
ab,frater,substantivo,7.1,1.8,1.7,8.9,19.5,20,0,20,0,0,0
ab,miles,substantivo,7,1.7,1.7,8.9,19.3,20,0,20,0,0,0
ab,Publius,nome próprio,6.7,1.7,1.6,8.9,18.9,20,0,0,0,0,0
ab,Mutina,nome próprio,31,5.4,3.9,8.9,49.2,20,0,0,0,0,0
ab,sueui,adjetivo,26.5,4.8,3.5,8.8,43.6,20,20,0,0,0,0
ab,initium,substantivo,13.5,2.9,2.4,8.8,27.6,20,0,20,0,0,0
abeo,in,preposição,7,1.9,1.9,7.9,18.7,10,0,0,0,0,10
abeo,et,conj.coord.,5.2,1.6,1.6,7.7,16.1,10,0,0,0,0,0
absum,longe,advérbio,81.3,6.8,5.2,11.5,104.8,30,0,0,30,0,0
absum,procul,advérbio,23.3,7.1,5.4,10.7,46.5,20,0,0,20,0,0
absum,tantum,advérbio,12.8,4.5,3.7,10.1,31.1,20,0,0,20,0,0
absum,nunc,advérbio,6.6,2.8,2.6,9.4,21.4,20,0,0,20,0,0
absum,uos,pronome,5.6,2.5,2.4,9.2,19.7,20,0,0,0,0,0
absum,ab,preposição,11.3,2.1,2.1,9.1,24.6,20,0,0,0,0,20
accedo,prope,advérbio,82.8,7.5,5.5,11.6,107.4,30,0,0,30,0,0
accedo,hinc,advérbio,23.2,5.6,4.3,10.6,43.7,20,0,0,20,0,0
accedo,etiam,advérbio,19.2,3.3,2.7,9.6,34.8,20,0,0,20,0,0
accedo,quod,conj.subord.,8.3,2.7,2.4,9.2,22.6,20,0,0,0,0,20
accedo,ad,preposição,6.6,1.8,1.7,8.6,18.7,10,0,0,0,0,10
accedo,ille,determinante,5.8,1.7,1.6,8.5,17.6,10,0,0,0,0,0
accido,ut,conj.subord.,31.8,2.9,2.6,9.3,46.6,20,0,0,0,0,20
accido,ne,conj.subord.,10,2.7,2.5,9.1,24.3,20,0,0,0,0,20
accido,possum,verbo,7,2.1,2.1,8.8,20,20,0,0,0,20,0
accipio,uulnus,substantivo,78.8,6.7,5,11.3,101.8,30,0,30,0,0,0
accipio,obses,substantivo,22.6,5.5,4.3,10.3,42.7,20,0,20,0,0,0
accipio,detrimentum,substantivo,24.2,7.4,5.5,10.2,47.3,20,0,20,0,0,0
accipio,iniuria,substantivo,17.9,4.6,3.7,10.2,36.4,20,0,20,0,0,0
accipio,maiores,substantivo,17.8,4.6,3.7,10.2,36.3,20,0,20,0,0,0
accipio,littera,substantivo,15.6,3.6,3,10,32.2,20,0,20,0,0,0
accipio,libenter,advérbio,15,5,4,10,34,20,0,0,20,0,0
accipio,pater,substantivo,13.7,3.3,2.8,9.9,29.7,20,0,20,0,0,0
accipio,cum3,advérbio,10.7,3.9,3.3,9.8,27.7,20,0,0,20,0,0
accipio,dolor,substantivo,9.6,3.6,3,9.8,26,20,0,20,0,0,0
accipio,Roma,nome próprio,9,3.5,2.9,9.7,25.1,20,0,0,0,0,0
accipio,ratio,substantivo,7.6,3.1,2.7,9.6,23,20,0,20,0,0,0
accipio,at,conj.coord.,6.2,2.7,2.4,9.5,20.8,20,0,0,0,0,0
accipio,tempus,substantivo,6.9,2.4,2.2,9.5,21,20,0,20,0,0,0
accipio,non,advérbio,5.4,1,1.3,8.9,16.6,10,0,0,10,0,0
accipio,et,conj.coord.,5.5,0.9,1.1,8.8,16.3,10,0,0,0,0,0
acer,uir,substantivo,10.9,4,3.4,9.5,27.8,20,0,20,0,0,0
acer,animus,substantivo,9.1,3.5,3.1,9.2,24.9,20,0,20,0,0,0
acer,qua,advérbio,5.8,2.6,2.4,8.6,19.4,20,0,0,20,0,0
acer,atque,conj.coord.,5.9,2.2,2.2,8.3,18.6,10,0,0,0,0,0
acies,instruo,verbo,101.5,9.8,7.1,12.3,130.7,40,0,0,0,40,0
acies,primus,adjetivo,16.2,5.3,4.2,10.2,35.9,20,20,0,0,0,0
acies,hostis,substantivo,12.5,4.4,3.6,9.6,30.1,20,0,20,0,0,0
acies,in,preposição,13.7,2.2,2.1,8.3,26.3,20,0,0,0,0,20
ad,ego,pronome,174.7,1.9,1.8,11.1,189.5,40,0,0,0,0,0
ad,is,determinante,166.9,1.7,1.6,11.1,181.3,40,0,0,0,0,0
ad,tu,pronome,158.1,2,1.8,11.1,173,40,0,0,0,0,0
ad,hic,determinante,42.3,1,1.2,10.6,55.1,20,0,0,0,0,0
ad,sui,pronome,56.4,1.5,1.5,10.6,70,30,0,0,0,0,0
ad,quemadmodum,advérbio,226.7,5.9,4,10.5,247.1,50,0,0,50,0,0
ad,qui,pronome,21.6,0.6,0.9,10.5,33.6,20,0,0,0,0,0
ad,usque,advérbio,219.8,5.8,3.9,10.5,240,50,0,0,50,0,0
ad,scribo,verbo,90.7,2.9,2.4,10.4,106.4,30,0,0,0,30,0
ad,modus,substantivo,78.5,3,2.5,10.3,94.3,30,0,30,0,0,0
