lemma,collocate,pos,LogL,LR,MI,LogDice
ab,tu,pronome,187.3,2.2,2,11.1
ab,ego,pronome,171.8,2,1.9,11.1
ab,is,determinante,124.9,1.6,1.6,10.9
ab,uos,pronome,93.6,2.8,2.4,10.6
ab,sui,pronome,48.3,1.6,1.5,10.5
ab,qui,pronome,25.3,0.7,0.9,10.4
ab,hic,determinante,28.7,0.9,1.1,10.4
ab,ille,determinante,22.1,1,1.1,10.3
ab,senatus,substantivo,57.1,2.5,2.2,10.3
ab,nos,pronome,42,2,1.8,10.3
ab,iste,determinante,28.5,1.8,1.7,10.1
ab,longe,advérbio,73.2,4.1,3.2,10
ab,omnis,determinante,7,0.7,0.9,10
ab,ipse,determinante,10.6,1,1.1,9.9
ab,Caesar,nome próprio,26.4,2,1.8,9.9
ab,hostis,substantivo,27.8,2.1,1.9,9.9
ab,maiores,substantivo,59.9,4,3.1,9.9
ab,amicus,substantivo,26.9,2.3,2,9.8
ab,pater,substantivo,19,2,1.8,9.6
ab,quintus,substantivo,28.6,2.7,2.3,9.6
ab,alius,determinante,7.4,1.1,1.2,9.6
ab,Marcus,nome próprio,17.9,2.2,2,9.4
ab,se,pronome,19,2.5,2.1,9.4
ab,peto,verbo,9.2,1.7,1.6,9.2
ab,frater,substantivo,7.1,1.8,1.7,8.9
ab,miles,substantivo,7,1.7,1.7,8.9
ab,Publius,nome próprio,6.7,1.7,1.6,8.9
ab,Mutina,nome próprio,31,5.4,3.9,8.9
ab,sueui,adjetivo,26.5,4.8,3.5,8.8
ab,initium,substantivo,13.5,2.9,2.4,8.8
abeo,in,preposição,7,1.9,1.9,7.9
abeo,et,conj.coord.,5.2,1.6,1.6,7.7
absum,longe,advérbio,81.3,6.8,5.2,11.5
absum,procul,advérbio,23.3,7.1,5.4,10.7
absum,tantum,advérbio,12.8,4.5,3.7,10.1
absum,nunc,advérbio,6.6,2.8,2.6,9.4
absum,uos,pronome,5.6,2.5,2.4,9.2
absum,ab,preposição,11.3,2.1,2.1,9.1
accedo,prope,advérbio,82.8,7.5,5.5,11.6
accedo,hinc,advérbio,23.2,5.6,4.3,10.6
accedo,etiam,advérbio,19.2,3.3,2.7,9.6
accedo,quod,conj.subord.,8.3,2.7,2.4,9.2
accedo,ad,preposição,6.6,1.8,1.7,8.6
accedo,ille,determinante,5.8,1.7,1.6,8.5
accido,ut,conj.subord.,31.8,2.9,2.6,9.3
accido,ne,conj.subord.,10,2.7,2.5,9.1
accido,possum,verbo,7,2.1,2.1,8.8
accipio,uulnus,substantivo,78.8,6.7,5,11.3
accipio,obses,substantivo,22.6,5.5,4.3,10.3
accipio,detrimentum,substantivo,24.2,7.4,5.5,10.2
accipio,iniuria,substantivo,17.9,4.6,3.7,10.2
accipio,maiores,substantivo,17.8,4.6,3.7,10.2
accipio,littera,substantivo,15.6,3.6,3,10
accipio,libenter,advérbio,15,5,4,10
accipio,pater,substantivo,13.7,3.3,2.8,9.9
accipio,cum3,advérbio,10.7,3.9,3.3,9.8
accipio,dolor,substantivo,9.6,3.6,3,9.8
accipio,Roma,nome próprio,9,3.5,2.9,9.7
accipio,ratio,substantivo,7.6,3.1,2.7,9.6
accipio,at,conj.coord.,6.2,2.7,2.4,9.5
accipio,tempus,substantivo,6.9,2.4,2.2,9.5
accipio,non,advérbio,5.4,1,1.3,8.9
accipio,et,conj.coord.,5.5,0.9,1.1,8.8
acer,uir,substantivo,10.9,4,3.4,9.5
acer,animus,substantivo,9.1,3.5,3.1,9.2
acer,qua,advérbio,5.8,2.6,2.4,8.6
acer,atque,conj.coord.,5.9,2.2,2.2,8.3
acies,instruo,verbo,101.5,9.8,7.1,12.3
acies,primus,adjetivo,16.2,5.3,4.2,10.2
acies,hostis,substantivo,12.5,4.4,3.6,9.6
acies,in,preposição,13.7,2.2,2.1,8.3
ad,ego,pronome,174.7,1.9,1.8,11.1
ad,is,determinante,166.9,1.7,1.6,11.1
ad,tu,pronome,158.1,2,1.8,11.1
ad,hic,determinante,42.3,1,1.2,10.6
ad,sui,pronome,56.4,1.5,1.5,10.6
ad,quemadmodum,advérbio,226.7,5.9,4,10.5
ad,qui,pronome,21.6,0.6,0.9,10.5
ad,usque,advérbio,219.8,5.8,3.9,10.5
ad,scribo,verbo,90.7,2.9,2.4,10.4
ad,modus,substantivo,78.5,3,2.5,10.3
ad,res,substantivo,13.5,0.8,1,10.2
ad,ille,determinante,7.8,0.6,0.9,10.2
ad,senatus,substantivo,46.5,2.2,2,10.1
ad,Caesar,nome próprio,36,2.1,1.9,10
ad,uenio,verbo,28.6,1.8,1.7,10
ad,bellum,substantivo,19.3,1.6,1.6,9.8
ad,iste,determinante,10,1.1,1.2,9.7
ad,nos,pronome,8.9,1,1.2,9.7
ad,legatus,substantivo,33.6,2.7,2.3,9.6
ad,salus,substantivo,27,2.4,2.1,9.6
ad,mors,substantivo,17.3,1.9,1.8,9.5
ad,tempus,substantivo,9.2,1.3,1.3,9.5
ad,mitto,verbo,11.6,1.6,1.5,9.4
ad,redeo,verbo,27.5,3,2.5,9.3
ad,urbs,substantivo,8.9,1.4,1.4,9.3
ad,superus,,7.5,1.3,1.3,9.3
ad,castra,substantivo,12.6,1.9,1.8,9.2
ad,iudicium,substantivo,9,1.6,1.5,9.2
ad,pertineo,verbo,20.3,2.9,2.4,9
ad,pes,substantivo,20.1,2.9,2.4,9
addo,etiam,advérbio,24.9,4.4,3.4,9.5
adduco,discrimen,substantivo,49.3,8.7,6.4,11.6
adduco,spes,substantivo,18.9,4.8,3.9,10.2
adduco,iubeo,verbo,13.7,4.7,3.9,10.1
adduco,Caesar,nome próprio,9.1,3.5,3,9.5
adduco,ut,conj.subord.,23,2.7,2.5,9.1
adduco,possum,verbo,8,2.3,2.2,8.8
adduco,sui,pronome,8,2.3,2.2,8.8
adeo,ne,conj.subord.,10.2,3.8,3.2,8.7
adeo,atque,conj.coord.,10.8,3.2,2.8,8.3
adeo,in,preposição,5.2,2,2,7.5
adeo2,aut,conj.coord.,7.6,3.1,2.8,8.7
adhibeo,diligentia,substantivo,48.6,8.5,6.4,11.7
adhibeo,uis,substantivo,16.4,5.3,4.3,10
adhuc,nemo,pronome,17,4.5,3.7,10.1
adhuc,nihil,pronome,9.5,3,2.7,9.3
adhuc,facio,verbo,6,2.2,2.2,8.8
adsum,dum,advérbio,12.7,4.4,3.6,10
adsum,non,advérbio,10.5,1.8,1.8,8.7
adsum,cum,conj.subord.,6.9,1.7,1.7,8.6
adsum,qui,pronome,5.4,1.1,1.3,8.2
aduersus,hic,determinante,5.7,2.1,1.9,7.8
aduersus2,res,substantivo,5.3,2.4,2.3,8.1
aedes,sacer,adjetivo,66.4,9.6,7.1,12.2
aedes,in,preposição,26.8,3,2.7,8.5
aedes,ad,preposição,8.1,2.7,2.5,8.2
aeger,animus,substantivo,21,5.2,4.2,9.5
aeger,et,conj.coord.,7.7,2.3,2.2,7.5
aeque,atque,conj.coord.,7.3,3,2.6,8
aeque,non,advérbio,7.9,2.6,2.4,7.8
aequor,uentus,substantivo,27.9,8.2,6.3,11.3
aequus,animus,substantivo,176.4,6.3,5,11.3
aequus,locus,substantivo,14.3,3.9,3.4,9.6
aequus,sum,verbo,11.3,1.5,1.7,8.1
aes,alienus,adjetivo,323.6,9.4,6.9,12.8
aes,incido2,verbo,31.3,9.1,6.8,11.5
aes,ex,preposição,13.6,3.3,2.9,9
aetas,ineo,verbo,45.5,7,5.3,11
aetas,ludus,substantivo,18.1,5.8,4.6,10.3
aetas,uel,conj.coord.,17.4,3.9,3.2,10.1
aetas,ago,verbo,20.7,3.4,3,10.1
aetas,iam,advérbio,17,3,2.7,9.8
aetas,tempus,substantivo,12.4,3.1,2.7,9.8
aetas,primus,adjetivo,9,3.5,3,9.8
aetas,per,preposição,10.5,2.8,2.5,9.6
aetas,neque,conj.coord.,6.1,2.2,2.1,9.3
aetas,omnis,determinante,12.6,2,2,9.3
aetas,animus,substantivo,5.8,2.2,2.1,9.3
aetas,ille,determinante,12.9,1.8,1.8,9.2
aeuum,in,preposição,9.5,3,2.7,7.5
affero,rumor,substantivo,20.8,6.5,4.9,10.4
affero,nuntius,substantivo,19.5,6.2,4.7,10.4
affero,littera,substantivo,25.3,4.4,3.6,10.4
affero,lux,substantivo,16.1,5.3,4.2,10.3
affero,uis,substantivo,13.1,3.7,3.1,9.9
affero,manus,substantivo,7.6,3.1,2.7,9.6
affero,aliquis,pronome,8.6,2.8,2.5,9.5
affero,romanus,adjetivo,5.2,2.4,2.2,9.2
afficio,praemium,substantivo,25,7.5,5.7,11.1
afficio,dolor,substantivo,28.9,6.7,5.2,10.8
ager,uasto,verbo,35.4,8,6,11
ager,uaco,verbo,22.6,6.9,5.3,10.7
ager,diues,adjetivo,20,6.3,4.9,10.6
ager,colo,verbo,17.4,5.6,4.5,10.4
ager,germani,substantivo,16.9,5.5,4.4,10.4
ager,ex,preposição,41.8,3.5,3,10
ager,per,preposição,8.9,2.9,2.6,9.5
ager,in,preposição,53.2,2.5,2.4,9.4
agito,mens,substantivo,20.1,6.3,4.9,10.5
agito,multus,determinante,9.9,3.7,3.2,8.9
agmen,nouus,adjetivo,47.4,7.1,5.6,10.9
agmen,noster,determinante,13.1,4.5,3.8,9.2
ago,gratia,substantivo,152.6,5.9,4.5,11.4
ago,quis,pronome,115.7,2.8,2.5,10.7
ago,nihil,pronome,41,2.9,2.5,10.4
ago,aetas,substantivo,26.4,3.7,3.1,10.2
ago,sic,advérbio,17.4,2.8,2.5,10
ago,ubi,advérbio,16.7,3,2.6,9.9
ago,ut,conj.subord.,26,1.7,1.7,9.9
ago,is,determinante,31,1.6,1.6,9.9
ago,uita,substantivo,12.5,2.5,2.2,9.8
ago,aliquis,pronome,12.2,2.2,2.1,9.8
ago,bene,advérbio,13.1,3.2,2.7,9.8
ago,alius,determinante,9.3,1.9,1.8,9.7
ago,cum,conj.subord.,11.6,1.2,1.4,9.6
ago,senatus,substantivo,7.2,1.9,1.9,9.5
