lemma,collocate,LogL,LR,MI,LogDice
ad,ego,174.7,1.9152360858833,1.77317720574241,11.1057725501886
ad,is,166.88,1.67473527975004,1.61437077869084,11.0870456529037
ad,tu,158.12,1.9565708835921,1.80034064307027,11.0553616786621
ad,hic,42.34,1.02404182014652,1.17933583206559,10.6189417508437
ad,sui,56.42,1.52805015494963,1.51693009721732,10.5894567559196
ad,quemadmodum,226.72,5.86933804553729,3.95854201861076,10.5438372126228
ad,qui,21.63,0.566233824941579,0.869728009728538,10.539389090287
ad,usque,219.79,5.83371413580657,3.94502270661851,10.5195294374433
ad,scribo,90.66,2.94857809283857,2.43720698773163,10.4057746909283
ad,modus,78.48,2.98514003578887,2.45999915387618,10.2668925935251
ad,res,13.46,0.801169213685183,1.02890923229593,10.2108910961894
ad,ille,7.8,0.573523498557691,0.874675704143196,10.1717400645111
ad,senatus,46.53,2.20763264775982,1.96440875955488,10.1442167128947
ad,Caesar,35.98,2.09022049864286,1.88788379353694,9.98964109385099
ad,uenio,28.63,1.77650387172917,1.68172253429647,9.98361697924761
ad,bellum,19.29,1.62014321900962,1.57815448771239,9.76754175686046
ad,iste,10.02,1.10816923722782,1.23595157638219,9.69962721868296
ad,nos,8.9,1.03710559521296,1.1881337020317,9.68859093254007
ad,legatus,33.59,2.69039677022774,2.27468805823385,9.62165661074241
ad,salus,26.98,2.42605616689332,2.10572229262146,9.55258071687166
ad,mors,17.27,1.90926516881374,1.76925005600024,9.46275183049737
ad,tempus,9.16,1.26230974038013,1.3394242304259,9.46237284416978
ad,mitto,11.56,1.5631634002848,1.54029253482061,9.37572771213842
ad,redeo,27.49,2.96999139935442,2.45056277891319,9.30407545074344
ad,urbs,8.86,1.39648305150997,1.42919599329755,9.29707507213811
ad,superus,7.5,1.26851488990684,1.34358224057456,9.28597540909983
ad,castra,12.63,1.90644740416626,1.76739648735092,9.18081874626097
ad,iudicium,8.98,1.55250450213426,1.53320309985013,9.16011708087493
ad,pertineo,20.3,2.93886888185864,2.43114469305608,9.02710503388659
ad,pes,20.12,2.9213814551298,2.42021562252389,9.02672049244751
