lemma,collocate,LogL,LR,MI,LogDice
alius,nihil,44.12,2.84720077032605,2.31843496855664,10.369014524305
alius,nisi,23.31,2.95255377047228,2.38957031542124,10.0091658141476
alius,item,30.23,4.54948891285951,3.44361428460947,9.95444560194733
alius,quidam,19.57,2.82056063775872,2.30042637135266,9.90936601717443
alius,ullus,18.57,3.22070714693109,2.56997872833723,9.8071037640494
alius,quisquam,17.52,3.0963162846939,2.48641364999119,9.78681476056338
alius,autem,14.41,2.31569172825081,1.9577453448988,9.77885964140001
alius,ab,15.15,1.47196104966689,1.38065396911343,9.76770673252692
alius,ago,11.31,2.14292956750497,1.83996230924242,9.66107660574362
alius,apud,11.52,2.60047284157832,2.15134887313786,9.58417598574283
alius,in,12.87,0.945695517742765,1.01886675515992,9.58083381837666
alius,tempus,9.22,2.05002263241996,1.77652967707572,9.55650876025996
alius,ex,7.56,1.32280913311996,1.27823031312891,9.5432331526024
alius,multus,6.57,1.4401902703687,1.35884507982185,9.48184119100154
alius,qua2,9.99,2.6684769490766,2.19746655523282,9.46203856370536
alius,ob,10.95,3.28896136263629,2.61573451007937,9.36042838729458
alius,quisquis,9.15,2.91528289311851,2.36442008179846,9.32018627101614
alius,ratio,6.57,2.35309170005601,1.98321195133586,9.24103634083249
alius,alia,14.96,5.0755577245271,3.77497142056391,9.18917157703872
alius,sicut,9.81,3.71941391430182,2.90248331134815,9.13760694904484
alius,cado,7.87,3.19585195824481,2.55329903913858,9.10216020004909
alius,sub,7.54,3.10470407018662,2.49205541389786,9.09472522156157
alius,praeter,7.18,3.0051683966357,2.4250447036149,9.08612037436805
alius,longe,6.67,2.86143291917425,2.32805243762759,9.0727463148428
