lemma,collocate,LogL,LR,MI,LogDice
annus,tot,119.03,7.28066763548095,5.45873431904148,11.7417151659025
annus,aliquot,68.58,8.83824424840702,6.27557297194397,11.2919497988978
annus,post2,24.06,5.80059170692762,4.5373021876669,10.5381779965214
annus,decem,21.47,6.67243535543694,5.09180287493556,10.407264406439
annus,tempus,33.06,4.01555767259343,3.34467555972827,10.380113417373
annus,ante2,21.36,4.47582831134212,3.65671834964623,10.3467477235292
annus,complures,18.14,5.82443844888199,4.55280637420287,10.3194887955566
annus,multus,30.86,3.32967375713241,2.87634722965564,10.0601849772422
annus,certus,10.19,3.80059170692762,3.19826071139756,9.86217032583816
annus,unus,15.31,3.1239987307409,2.73533854826461,9.82433149994831
annus,per,15.24,3.11416772138121,2.72859316012508,9.81922293200559
annus,totus,7.22,3.00340858992731,2.65256626198074,9.55538987902435
annus,iam,9.79,2.62489696667358,2.39236104836995,9.5181280303564
annus,superus,6.21,2.72010178906726,2.45786064598707,9.42873136568759
annus,hic,17.91,1.85212872654312,1.8597111940494,9.17845914698513
