lemma,collocate,LogL,LR,MI,LogDice
apud,uos,37.44,3.58564396742073,3.04188113249849,10.4141689217855
apud,ceno,29.98,6.98557457430937,5.21869683820351,10.3558564397275
apud,Segestani,24.62,7.57053707503053,5.53715056932204,10.101400014904
apud,pontifex,21.57,6.74046207647284,5.0776182399436,10.0780266637187
apud,habito,20.35,6.41853398158548,4.88656300318089,10.0649117216409
apud,multum,14.99,4.07868397870085,3.37526535843113,10.0320693626336
apud,is,61.66,2.36989247434791,2.21099714865007,9.91402368744842
apud,tu,35.82,2.33532061333649,2.18724648204744,9.849676170036
apud,maiores,11.04,4.02621655880672,3.33992599198582,9.82049762943759
apud,nos,15.23,2.57996032891715,2.35519809855844,9.81129267632961
apud,praetor,10.58,3.9075720623081,3.25988328431228,9.79779804192149
apud,ego,33.17,2.16484062245057,2.07005689306185,9.74778497684811
apud,sui,20.24,2.16762653178061,2.07197285799648,9.6944880775104
apud,quisque,7.36,3.04697511897351,2.67494968839257,9.58922395204013
apud,auctoritas,7.24,3.01254162190964,2.65141919098238,9.57915337347654
apud,Caesar,6.32,2.2913134310974,2.15700659685772,9.45404917367188
apud,exercitus,5.82,2.61117905952787,2.3766103214668,9.4514001655003
apud,alius,6.44,2.01799605200175,1.9690273163439,9.40185442894887
apud,iste,6.17,1.96567501687166,1.93301234366319,9.37600805977132
apud,pater,5.01,2.37413986222702,2.2139147291296,9.36689044532267
apud,ille,7.66,1.33054083522316,1.49519639430186,9.16603559118888
apud,qui,11.53,1.03767097837508,1.29300149287657,9.02696768068261
