lemma,collocate,LogL,LR,MI,LogDice
at,uersus,44.13,5.42369536279442,3.89370254303023,10.6566965967567
at,ille,116.23,3.53294116129079,2.62009634013317,10.3160669698214
at,enim,36.41,3.32624048812697,2.47868004664,10.036260712733
at,accipio,8.12,3.24923741852167,2.42593315124187,9.47459478248077
at,nos,8.63,2.42181071844947,1.85741490520563,9.3337347146521
at,quis,15.13,1.99108523406762,1.5605340266641,9.24712845786456
at,tu,12.34,1.85453471819615,1.46631973738041,9.15366775719502
at,nunc,5.02,2.37426200298991,1.82466692251151,9.14536895438033
at,hic,12.38,1.60847204788031,1.29645007131708,9.01957848450024
at,possum,6.8,1.70053556815324,1.36001981348065,9.00520376993349
