lemma,collocate,LogL,LR,MI,LogDice
atque,hic,9.67,0.575965809106346,0.826018451480608,10.2223250471029
atque,etiam,32.6,1.57225443206514,1.4983517394722,10.2213618777829
atque,ita,32.22,1.94880422394488,1.74860459652814,10.0106730766966
atque,bonus,26.53,1.85934775649033,1.68940086199024,9.90426751250305
atque,animus,14,1.34031772183532,1.34298276089047,9.76260510046315
atque,homo,9.63,1.05547514135344,1.15111998169123,9.74685718955409
atque,fortis,33.35,2.67141604455927,2.21966354916605,9.67664676701129
atque,imperium,33.22,2.66459477870326,2.21528717456625,9.67625697944058
atque,simul,44.08,3.36253788667688,2.65391062317337,9.65133626899524
atque,alius,7.37,1.04243549307017,1.14231206542832,9.561934405001
atque,amicus,18.78,2.00737184337543,1.7872737376873,9.52001517943505
atque,idem,5.27,0.956914417805909,1.08449566406639,9.40723983408859
atque,urbs,10.9,1.57503955849168,1.50021220512512,9.35894305467838
atque,uirtus,8.86,1.39446731284986,1.37933031356467,9.3420184417187
atque,honestus,27.09,3.32319973872638,2.62974455732618,9.20173318405
atque,socius,19.77,2.68446598156424,2.22803179883657,9.18375884393197
atque,studium,10.12,1.7627943422492,1.62531948371778,9.14018759563833
atque,utinam,36.08,4.43058327409998,3.27535079311713,9.11593624759321
atque,templum,25.51,3.43058327409998,2.69553229786419,9.10216020004909
atque,liberi,25.06,3.38751455220809,2.66921498954681,9.10133135623869
atque,usus,22.41,3.13512739057381,2.51321074107023,9.09596055216956
atque,hinc,17.24,2.62948734251406,2.19273884579546,9.08204870750511
atque,perditus,26.9,3.87878763731402,2.96341174301979,8.99437724772729
atque,integer,22.83,3.44707139688855,2.70558263371769,8.98811548650331
atque,incredibilis,22.15,3.37431505445323,2.66113087114686,8.98686782570516
atque,ibi,18.69,3.00127164383902,2.42932925708953,8.97941437505058
atque,fortuna,5.32,1.37431505445323,1.36580828823269,8.91356174248825
atque,sceleratus,29.86,4.65297569543643,3.39441015313312,8.87010128507693
atque,ornatus,28.85,4.52744481335257,3.32771877863445,8.86925633361136
atque,inopia,21.67,3.65297569543643,2.82988035039527,8.86084585510277
