lemma,collocate,LogL,LR,MI,LogDice
auctoritas,senatus,130.28,5.19658585134472,4.17455019986211,11.3176095456784
auctoritas,uester,55.58,4.75534328171848,3.88155282134699,10.873605027926
auctoritas,ualeo,23.62,4.82555228399988,3.9284171303232,10.4532603130472
auctoritas,plenus,14.04,4.79186915774359,3.90594427447114,10.101400014904
auctoritas,sequor,13.68,3.81988353391319,3.25053742189405,10.0320693626336
auctoritas,superus,13.38,3.22552233518978,2.84507231378588,9.8973566349632
auctoritas,tantus,10.73,2.78633097420216,2.54401850436821,9.69323584982667
auctoritas,consilium,8.96,2.86660003282022,2.5991140847055,9.65944661353269
auctoritas,noster,11.64,2.60966582652284,2.42265764736394,9.65079791097416
auctoritas,habeo,13.52,2.39033320493545,2.27181374944667,9.58568770182815
auctoritas,apud,7,2.94284505638492,2.65141919098238,9.57915337347654
auctoritas,magnus,6.95,1.8911571370642,1.92792724610581,9.25072947003815
auctoritas,et,17.97,1.42492829786563,1.60617796533296,9.06610177212413
auctoritas,hic,6.36,1.19653994146418,1.44841516563044,8.8845043152876
