lemma,collocate,LogL,LR,MI,LogDice
cogito,diu,13.68,4.69401643028595,3.74980222325896,10.1184362020566
cogito,quoniam,10.86,3.97231759277306,3.25970273001009,9.89186211564556
cogito,nihil,13.64,2.89209539427898,2.5192623915483,9.60246917879015
cogito,puto,9.28,2.93071668830628,2.54582941893303,9.53696958117303
cogito,quidem,7.78,2.61326901640159,2.3273119360076,9.36891843222741
cogito,bellum,5.47,2.50731571609281,2.25430857017408,9.24640980889363
cogito,publicus,6.37,2.29989225080156,2.11130351656174,9.19495488963705
cogito,ne,6.48,2.02427350936778,1.92112581020326,9.0669659519273
cogito,possum,6.04,1.73818811176023,1.72356763670715,8.90983495028044
cogito,quis,7.5,1.66465654359918,1.67276742160969,8.8850046905795
cogito,et,5.75,1.03569755221339,1.23794219899315,8.49220344433181
