lemma,collocate,LogL,LR,MI,LogDice
consilium,ineo,82.36,7.05277135110286,5.22015290881808,10.9997325712806
consilium,capio,57.83,4.63556796785486,3.77776908104715,10.8381016098743
consilium,meus,36.54,2.90859111204394,2.62383576748585,10.3444834495552
consilium,priuatus,27.86,4.78598481040796,3.87540755061106,10.2925441603131
consilium,humanus,22.95,4.74534282591061,3.84909024229369,10.1371672387626
consilium,utor,17.46,3.42341473102325,2.97253983906905,10.0535755678545
consilium,nouus,16.74,3.32655319177066,2.9071570798062,10.0297080864479
consilium,egeo,24.25,5.89290001432447,4.56855473117101,10.0179846227518
consilium,publicus,18.96,2.42341473102325,2.29299831056488,9.99930033826316
consilium,noster,17.6,2.45583620871563,2.31515988236773,9.98091792227845
consilium,superus,15.25,2.81949407259821,2.56322116164489,9.96829100876938
consilium,tuus,14.5,2.17380084095178,2.12215793614488,9.85290487239237
consilium,is,30.12,1.64126036309079,1.75659961874367,9.77383004499848
consilium,communico,16.6,5.47786251504563,4.31477421039491,9.73263627364626
consilium,cognosco,10.18,3.12573418238257,2.77125508156734,9.71641343813937
consilium,uester,9.4,2.56212100185484,2.38776069523088,9.70817163324427
consilium,auctoritas,8.96,2.87224054375838,2.5991140847055,9.65944661353269
consilium,auctor,10.93,4.00837723174441,3.36458192684507,9.63055214753298
consilium,quantum,10.93,4.00837723174441,3.36458192684507,9.63055214753298
consilium,uirtus,7.8,2.27502289113058,2.19148078618622,9.61423037904729
consilium,muto,9.96,3.75203747848462,3.19343367064924,9.60144406337491
consilium,opera,9.25,3.56359238907151,3.06694952354012,9.57715137080586
consilium,maiores,8.88,3.4640567155206,2.99993881325716,9.56324846563687
consilium,suus,8.12,1.63012252150727,1.74894107028636,9.55669536223848
consilium,probo,8.08,3.24756489562383,2.85375630307908,9.53026778490701
consilium,Catilina,7.14,2.9884776743067,2.67812373443592,9.48548418228004
consilium,gratia,6.86,2.91151569249182,2.62582423503307,9.47099117497747
consilium,labor,6.73,2.87452148500962,2.60066567539692,9.46382268549886
consilium,solum,6.07,2.68644913685704,2.47258388753996,9.42528902149662
consilium,ratio,5.06,2.39039967379529,2.27042398852634,9.3572129504406
