lemma,collocate,LogL,LR,MI,LogDice
deus,immortalis,1231.2,10.6496551623643,6.25650012227601,13.0598580523037
deus,per,74.03,3.78915417525824,3.16121803658359,10.8305054230477
deus,templum,43.67,5.42602469492007,4.22069041691443,10.5053881736984
deus,Penates,55.79,7.49211388537784,5.3601247001028,10.4799619411233
deus,regnum,22.73,4.12288007571212,3.38296200754338,10.1184362020566
deus,patrius,28.69,5.64411697882289,4.3546028345007,10.1020759189514
deus,o,21.87,4.01098719564123,3.30885403538966,10.101400014904
deus,bonus,20.91,2.74526370227979,2.45687327934297,10.0889774949054
deus,ira,19.65,5.00026078904817,3.95321105178017,9.86283544059497
deus,homo,12.87,2.0196261139151,1.96115201346275,9.78787240212151
deus,delubrum,19.96,6.37663666795791,4.78476055519923,9.64329117331041
deus,iuuo,13.02,4.55351443004199,3.66552897932839,9.57515336814319
deus,oro,12.9,4.52248753442136,3.64532627201087,9.57315934953633
deus,beneficium,9.33,3.58522328976933,3.02474978428576,9.49097367456481
deus,religio,8.35,3.32218888393553,2.84781907612668,9.45847984108837
deus,cura,7.97,3.21909539097143,2.77822578432749,9.44437025957204
deus,etiam,5.78,1.43141795369029,1.55717278972901,9.44087375251332
deus,filius,6.99,2.94779336915403,2.59450464717911,9.40319806368242
deus,gratia,6.5,2.8102898454041,2.50110347209071,9.37994120151816
deus,ab,5.36,1.0869724222415,1.32000169204733,9.35480813966242
deus,honor,5.97,2.6592238712131,2.39829397822449,9.35240909812796
deus,sequor,5.08,2.39759628659355,2.2198111977377,9.29951963420758
