lemma,collocate,LogL,LR,MI,LogDice
dico,ita,63.43,2.78702989733437,2.34445966716838,10.4879571724494
dico,sententia,75,3.87300312044422,3.04074656773299,10.379910515881
dico,qui,30.52,0.84153090294844,1.03499032353527,10.2535226261965
dico,sum,30.32,0.743056654637881,0.967654916477601,10.2258033114793
dico,ut,21.2,1.08407018721476,1.20055264299514,10.1877973298541
dico,sui,18.68,1.24810187435292,1.31226854845245,10.1118971782895
dico,et,14.85,0.659761874714449,0.91065199683257,10.1047432723908
dico,audio,36.65,2.71872388394346,2.29950827930611,10.0907586375337
dico,possum,17.31,1.21607025601218,1.2904705899369,10.0861037501902
dico,quis,13.8,0.971611359890672,1.12383855931432,10.056631337994
dico,non,10.02,0.694041044022201,0.934116050815815,10.0177561192204
dico,ante2,42.38,3.39047181866318,2.73622593091838,10.0067042744431
dico,enim,17.18,1.46532991455767,1.45984992781945,10.0014004947363
dico,is,5.91,0.54649411573981,0.833072296320663,9.92174157552952
dico,ille,6.31,0.672680689921356,0.919495727734779,9.88527627544125
dico,nihil,14.64,1.54048361428914,1.51080119987449,9.87286561495491
dico,saepe,25.54,2.65596083170908,2.25811164012015,9.81677614830387
dico,se,30.35,3.14212485615693,2.5762612812257,9.79096359469119
dico,audeo,31.04,3.38757629327398,2.73437236226906,9.72903190209858
dico,uolo,9.3,1.31477845891186,1.3576140659705,9.70090217824204
dico,male,38.3,4.21789236377489,3.25216665535114,9.67652981478614
dico,aliquis,11.26,1.5990584404746,1.55047145225764,9.66371529546966
dico,supra,39.86,5.79078203219547,4.11670632217285,9.35698367152179
dico,soleo,9.44,2.09034231405438,1.88156250997434,9.23295394837824
dico,genus,7.52,1.8192384782447,1.69924095318038,9.20716541280746
dico,queo,36.28,6.10895799222173,4.26483651421852,9.20696807684234
dico,fors,9.68,2.33957092036314,2.0481938510252,9.11530592926159
dico,quia,7.07,1.9245334210843,1.77017368948516,9.08428607241687
dico,licet,6.11,1.76103468880142,1.65997054935155,9.06973154017471
dico,uiuo,5.58,1.66752280287828,1.59679164773001,9.06074136874597
