lemma,collocate,LogL,LR,MI,LogDice
dignitas,tueor,24.43,5.8663504055505,4.62474059730157,10.6284030881141
dignitas,pristinus,22.35,6.88871821857896,5.27532816344272,10.5394860411814
dignitas,gradus,18.53,5.91909186762248,4.6591420240189,10.4257834542062
dignitas,uester,22.9,4.12495256506904,3.4591772410905,10.2783307230631
dignitas,gratia,11.77,4.20689417860521,3.51491922409874,10.020318346098
dignitas,uel,13.58,3.7959610776591,3.23482959571149,9.99039666623299
dignitas,imperium,9.64,3.65350175688493,3.13744302589281,9.81794985735879
dignitas,superus,11.06,3.29626118131088,2.89270036277514,9.76227685493255
dignitas,romanus,12.96,3.15536387796513,2.79599255870417,9.75007720595946
dignitas,suus,20.82,2.92550100762067,2.63803605935203,9.72333388098394
dignitas,tuus,16.39,2.9495588194981,2.65457798127182,9.70174324839158
dignitas,publicus,9.48,2.57040137724397,2.39363593926628,9.42838659754075
dignitas,meus,5.86,2.18308583121754,2.12663639543162,9.1686907537179
dignitas,cum,9.6,1.68904587374259,1.78557738443912,8.95206892116005
dignitas,atque,5.56,1.50995890109492,1.66183955529539,8.81461139873764
dignitas,et,11.73,1.34590129294553,1.54844549866439,8.74496714822871
