lemma,collocate,LogL,LR,MI,LogDice
do,opera,121.7,5.96863563474683,4.38917539878374,10.9918452064475
do,littera,80.83,4.33694208368068,3.4021770947453,10.8013268824493
do,obses,57.48,5.69377579351625,4.23361129115933,10.3519425404063
do,facultas,57.12,5.66462944785673,4.21680417284295,10.3506413040483
do,signum,38.16,4.15873851812677,3.28726821421878,10.2376377691263
do,poena,38.87,4.55656970199928,3.54234912529516,10.1871836446553
do,uenia,41.47,6.66462944785673,4.75580067357564,9.89186211564556
do,negotium,22.18,4.06372540326655,3.22561213279568,9.79282290728137
do,nos,10.01,1.73673299412791,1.66346036150173,9.69593490679583
do,pecunia,13.52,3.264091518273,2.69802062867698,9.56206573338782
do,nomen,7.4,2.20519782921943,1.98321195133586,9.40589076137133
do,ciuitas,7.07,2.14357871095577,1.94124775223683,9.39383031367883
do,natura,6.81,2.09416651683069,1.90757453713024,9.38388987397357
do,Catilina,8.63,2.80664845272916,2.39091169724544,9.32483744219187
do,responsum,17.5,5.76416512140764,4.2739625866829,9.20420945440326
do,sextilis,15.86,5.32359253002166,4.0161334773808,9.19734600947828
do,pridie,15.07,5.11208842482795,3.88830010587092,9.19325044061354
do,mandatum,14.37,4.92766385369052,3.77497142056391,9.18917157703872
do,sors,14.37,4.92766385369052,3.77497142056391,9.18917157703872
do,custodia,12.85,4.52712592410679,3.52365699228301,9.1783752508485
do,spatium,10.06,3.79016032994059,3.0467329201927,9.1492726678608
do,fatum,7,2.95681019935004,2.49205541389786,9.09472522156157
