lemma,collocate,LogL,LR,MI,LogDice
dolor,afficio,29.16,6.76237054103178,5.18889565767041,10.7911745109853
dolor,timor,14.72,4.95687356519476,4.00961546593485,10.2426833843328
dolor,iniuria,14.38,4.87028588019867,3.95134655781087,10.2196054370503
dolor,uel,14,3.87906676574087,3.27845021818738,10.0063970075794
dolor,accipio,9.21,3.53997811969533,3.04644114816184,9.75388854930592
dolor,meus,17.49,3.07873911057724,2.72987280584294,9.73531007203066
dolor,mors,8.58,3.3719110644736,2.93120588458426,9.68029212972538
dolor,tuus,9.33,2.54388257415125,2.36172636712649,9.37209032704242
dolor,suus,10.35,2.41979529530165,2.27619157371976,9.32328464684881
dolor,magnus,6.91,2.10639992834759,2.05999791209121,9.11115576295767
