lemma,collocate,LogL,LR,MI,LogDice
et,dico,7.64,0.552550962323739,0.602685253209284,9.79677652876751
et,magnus,14.85,0.805475779247075,0.769864248900425,9.79581345349433
et,uenio,15.21,1.07470769197082,0.946197508933084,9.37693532413536
et,bonus,17.2,1.17105681955371,1.00883942765986,9.35588386387725
et,fortis,49.02,2.37391829353924,1.76258174412313,9.27934332020024
et,animus,6.17,0.68528848568501,0.690592203526776,9.27502861419929
et,nam,6.32,0.825836403409593,0.783261304236265,8.98922582665902
et,uis,16.57,1.46204795025373,1.19634089801617,8.97084166931319
et,grauis,19.98,1.72673209330662,1.36438329739265,8.8895911971147
et,simul,30.22,2.38281072044381,1.76790521462817,8.80266677450999
et,auctoritas,12.79,1.49988002377947,1.22051548452098,8.68043929131214
et,ceterus,6.4,1.04177380260874,0.924726824536207,8.61164199514421
et,statim,26.82,2.57362496687034,1.88102289102406,8.57226385270107
et,clarus,20.39,2.15424853186715,1.62970846274316,8.56817207437779
et,aio,15.41,1.80911304581847,1.4161343624451,8.56380652611746
et,corpus,7.12,1.14776449829696,0.993719696023159,8.55197036022364
et,mos,9.83,1.43973778852864,1.1820617405987,8.49075626607635
et,studium,5.3,1.0099249365694,0.903936054867133,8.48226028293961
et,laus,11.41,1.64418143778931,1.3122542319577,8.421577268819
et,cogito,6.95,1.28688630044527,1.08379151916589,8.33805276450455
et,cognosco,6.39,1.22585686704771,1.0443497871146,8.33703951986405
et,constituo,6.41,1.29175205561709,1.08693123917056,8.25321608935061
et,furor,17.17,2.50572090236853,1.84101755641036,8.17120145202753
et,ea,6.67,1.39791761283402,1.15525048314804,8.16139529953635
et,ignis,9.77,1.87184880116643,1.45535507559838,8.06261039024145
et,exeo,9.62,1.85414679943297,1.44430523941179,8.06246379491757
et,rogo,7.52,1.59698895993585,1.28233591146674,8.06012118769692
et,religio,7.07,1.53927346207956,1.24563454461631,8.05953639235862
et,amo,5.6,1.34133408446765,1.11888283897716,8.0573464506118
et,ingenium,5.51,1.32905575468921,1.11097765947005,8.0572006248733
