lemma,collocate,LogL,LR,MI,LogDice
factum,recte,41.3,7.46804195634783,5.71743195515966,11.332771793418
factum,opusculum,29.71,6.83678580335274,5.31524017239646,11.0424889392662
factum,pulcher,19.69,6.18854912778086,4.88993672206863,10.6980092684213
factum,pro,10.16,3.78703276815564,3.26069618233835,9.68251188646369
factum,iste,14.99,3.47985125863746,3.04938708867114,9.58357193860879
factum,meus,9.45,2.96404343015606,2.69390333010257,9.24210872699424
factum,de,8.83,2.45438551186624,2.34205527311924,8.93487652061968
factum,tuus,5.46,2.50142156905968,2.37454705555556,8.92586839434462
factum,atque,8.05,2.06790502910977,2.07495581013908,8.68926011345341
factum,is,5.32,1.4714061903812,1.66236413006911,8.29336445636139
