lemma,collocate,LogL,LR,MI,LogDice
fortuna,fama,25.14,5.06452512608301,4.11982850037256,10.4590406759627
fortuna,seruo,18.69,4.79263771369524,3.94064807247946,10.2475590643963
fortuna,siue,19.3,6.14313496077937,4.80939785958462,10.1569698660588
fortuna,tuus,25.35,2.92167965869698,2.67700044532765,10.0717457996433
fortuna,bonum,11.62,3.41412609044151,3.01318404000718,9.9119250507915
fortuna,malus,10.43,3.8681279132795,3.32132080415479,9.86217032583816
fortuna,socius,10.04,3.76462333752564,3.25125324153807,9.83851613494027
fortuna,saepe,10.2,3.12521305278211,2.81615633582353,9.81414032894213
fortuna,contra,8.25,3.28714526347089,2.92666661215084,9.71411722587902
fortuna,suus,13.7,2.23881143887465,2.2084733996648,9.65763862171855
fortuna,bellum,9.12,2.50993627440537,2.39476040564318,9.65101321940432
fortuna,aut,13.39,2.20704672459956,2.18662893123426,9.63973624599748
fortuna,uirtus,7.52,2.55817246005822,2.42786956425045,9.59328075273575
fortuna,uester,5.18,2.42504737681886,2.33646740084333,9.42185848639983
fortuna,que,15.79,1.60211580764581,1.76999052252797,9.35081292859513
fortuna,omnis,6.26,1.3982562849699,1.62936186803268,9.16195597805512
fortuna,atque,6.46,1.33970124931495,1.5889518395469,9.13670529380245
