lemma,collocate,LogL,LR,MI,LogDice
gero,bellum,264.83,5.82094018590771,4.52299211149244,11.810380022049
gero,bene,51.42,5.1496752425018,4.08956900560945,10.8931736789404
gero,res,151.83,3.727945608549,3.13894915845301,10.7212159223784
gero,magistratus,21.04,5.24000756222271,4.14865792197945,10.2712990516994
gero,negotium,18.34,4.72321656414313,3.80805344807333,10.190563583347
gero,cognosco,8.56,3.37160444500592,2.8965853228591,9.69368518706181
gero,legio,8.5,3.35548477964265,2.88559620128351,9.68920087461449
gero,mos,8.47,3.34749198888912,2.88014659651594,9.68696623681307
gero,castra,7.61,3.11262825574648,2.71980394644077,9.61797336532612
gero,Caesar,6.79,2.39818923059688,2.23003173187261,9.48093251306532
gero,ut,7.8,1.34500329577432,1.50443795828539,9.11436119607843
