lemma,collocate,LogL,LR,MI,LogDice
gratia,ago,144.88,5.62857409913152,4.4870063136146,11.3987928945158
gratia,refero,56.45,5.98863295936017,4.72296535381231,11.1733440564899
gratia,dignitas,11.67,4.18127803730257,3.51491922409874,10.020318346098
gratia,tantus,13.36,3.22125451301351,2.85841072714757,9.7746271753715
gratia,consilium,6.79,2.88283829533758,2.62582423503307,9.47099117497747
gratia,deus,6.14,2.70162328067604,2.50110347209071,9.37994120151816
gratia,bonus,5.19,2.42473207416685,2.31033684950096,9.23498111307001
gratia,quod,5.63,2.13119280586626,2.10788114349822,9.12289609852827
gratia,aut,6.77,2.07923550814108,2.07202554849525,9.12175389394949
gratia,magnus,6.67,2.0618084363829,2.05999791209121,9.11115576295767
gratia,omnis,7.2,1.75945587983229,1.85123072191489,8.95335426838071
gratia,in,8.94,1.33024404516788,1.55461589331478,8.70311222626156
