lemma,collocate,LogL,LR,MI,LogDice
habeo,nihil,67.82,2.72952374273201,2.37365685029262,10.6358438900182
habeo,non,32.62,1.21843000427222,1.3533548271614,10.2413224431293
habeo,nullus,30.81,2.34309395503762,2.11553210166834,10.1968524523371
habeo,qui,25.61,0.848307792375279,1.1001719584842,10.0976906867595
habeo,sui,16.9,1.29363028683213,1.40468534400899,10.0535755678545
habeo,ratio,30.25,3.12713417025266,2.63627083382746,9.98436801195284
habeo,certus,29.72,3.27831263089968,2.73515883497967,9.92632207458646
habeo,delectus,59.26,6.5331265299285,4.58218098288277,9.85951428178004
habeo,auctoritas,18.74,2.7535165983538,2.38959678510306,9.70347073748453
habeo,sic,13.29,2.06845826292506,1.93070113326896,9.69256222231719
habeo,aliquis,7.78,1.49926307806222,1.54482703463796,9.57935379436106
habeo,quisquam,13.74,2.43088833599776,2.1743916364392,9.56918320115669
habeo,spes,12.79,2.32172489251003,2.10118823241591,9.55587923553032
habeo,numerus,19.17,3.30926272137539,2.75533019384345,9.52999519392809
habeo,potestas,18.73,3.25726808373712,2.72142864216777,9.52672988490435
habeo,amicus,10.33,2.03168738476963,1.90587948009514,9.5162914825491
habeo,oratio,15.83,2.90752204471,2.49164054813489,9.50177889235487
habeo,consul,8.61,1.81888101226238,1.76191879117364,9.48297820078861
habeo,semper,8.81,2.00063144910148,1.88490287876247,9.40632419343764
habeo,quantus,7.78,1.85344537195421,1.78533528299743,9.38558694693073
habeo,quidam,5.99,1.58559394982264,1.60355853689524,9.34332225686598
habeo,se,9.97,2.37932119384947,2.13983394751357,9.32173425894136
habeo,nemo,5.83,1.71039638198398,1.68834301701012,9.24354036646568
habeo,uis,5.58,1.66523006593585,1.65767621861715,9.23711406802015
habeo,nondum,14.75,3.4834957622039,2.86838305512443,9.22846827679668
habeo,fides,7.52,2.23446821436399,2.04254943340553,9.15109962908931
habeo,honor,7.29,2.19114078269989,2.01339284911407,9.14718879109731
habeo,bene,6.89,2.11628678801567,1.96296199548718,9.14018759563833
habeo,existimo,6.48,2.03743136730443,1.90975795942371,9.13246554954442
habeo,uenalis,23.74,5.94816402920735,4.31024726739913,9.05746511860768
