lemma,collocate,LogL,LR,MI,LogDice
idem,fere,54.34,5.43443850362112,4.15898777148103,10.4475131707916
idem,tempus,37.71,3.10631857501949,2.66317488455465,10.3908855143549
idem,sentio,29.07,3.68973726067531,3.05217871560874,10.17863136284
idem,in,62.72,1.69836815927632,1.70684126784337,10.1579043685043
idem,facio,20.02,1.84969147523864,1.81040889556433,9.99115280993631
idem,que,25.32,1.43319247356737,1.52504554253254,9.92101082586109
idem,nunc,14.87,2.36318760804757,2.1606826423478,9.88367653105912
idem,genus,15.89,2.90251808722747,2.52601936163673,9.85460026697761
idem,hic,18.53,1.23842595820848,1.39130373433649,9.79825155666849
idem,modus,12.8,2.52091481568016,2.26783795358165,9.77212404515338
idem,dux,15.88,3.64716782760685,3.02400783864204,9.69864126839357
idem,dies,9.27,1.89678171767832,1.84260935635465,9.67421308364899
idem,qui,15.98,0.874088224100048,1.1407127633146,9.62364982333092
idem,utor,9.75,2.62708358156352,2.33982932806486,9.55970445720214
idem,causa,6.47,1.65489312071608,1.67706174983117,9.52510122004922
idem,ille,6.14,0.908429227145367,1.16435259074141,9.51818757011409
idem,semper,7.92,2.30117197275766,2.1184892037498,9.49686253957706
idem,tamen,5.69,1.53421163829362,1.5943437109231,9.48366102771852
idem,sententia,6.62,2.36626700097954,2.16277688395092,9.34842344119775
idem,ratio,6.27,2.28534700559598,2.10771710676789,9.33420519219547
idem,licet,6.1,2.24652775670545,2.08128384969973,9.32717116553809
idem,galli,9.55,3.65166921984179,3.02698846678018,9.25072947003815
idem,Scipio,8.56,3.38488267914689,2.84965445149727,9.23214423173481
