lemma,collocate,LogL,LR,MI,LogDice
igitur,num,46.53,5.6641626131551,4.48186365052786,10.9118024987739
igitur,cur,35.87,5.13508987063023,4.13835916977888,10.7094681862254
igitur,talis,15.71,4.21670363618388,3.52707137129913,10.1314065524992
igitur,hic,80.08,2.70855673251356,2.50053996480655,10.0559318658381
igitur,unde,12.44,4.3866286376262,3.64126373882479,9.97167653887569
igitur,placeo,10.35,3.84505873241842,3.27602343202713,9.85686527360847
igitur,primum,11,3.28789468404084,2.89702489710713,9.85488311240448
igitur,ne,16.8,2.38182765136237,2.27616006468454,9.71091136098539
igitur,quis,26.5,2.19198120677265,2.14558471174735,9.66999792117221
igitur,nos,6.52,2.03424674619712,2.03700048218071,9.37994120151816
igitur,is,15.59,1.54003855228549,1.69632422804029,9.25667098660278
igitur,sum,23.68,1.27420650758333,1.51284003911873,9.10758533729118
