lemma,collocate,LogL,LR,MI,LogDice
imperator,appello,29.15,5.64866418334138,4.43292028834971,10.7304310608163
imperator,clarus,21.09,5.22888876505588,4.15261832319555,10.4810195826815
imperator,noster,42.54,4.16167684218352,3.42961817948592,10.3364383538704
imperator,officium,14.55,4.91169858917518,3.93904422289749,10.2272390619054
imperator,consul,18.41,4.01802982423494,3.33151079506054,10.0839849733023
imperator,superus,12.42,3.56716906535068,3.02275349102333,9.79904570271964
imperator,exercitus,9.5,3.61530558639495,3.05577126005201,9.73497545599943
imperator,populus,9.44,2.96486924819651,2.60877769324726,9.48093251306532
imperator,unus,9.43,2.96240940950871,2.60708421274093,9.479571042467
imperator,bellum,6.23,2.72499787498204,2.44355056981261,9.29046979868767
imperator,atque,5.03,1.55785531421105,1.63774200371633,8.6684896660962
