lemma,collocate,LogL,LR,MI,LogDice
in,is,149.35,1.27050535876661,1.22059270678951,11.1005860187878
in,hic,145.1,1.29867970734259,1.23886328034716,11.0695653432119
in,qui,77.08,0.744394534654,0.875624478240563,11.0685418821535
in,res,78.86,1.26977071841118,1.22011599868561,10.6900085223844
in,ille,27.41,0.749390787273693,0.878930748724795,10.5054493863205
in,senatus,150.43,2.67676698438077,2.09514545603329,10.3712804813821
in,omnis,9.77,0.544562863517142,0.742978213326458,10.158533588035
in,sui,11.12,0.608254747331085,0.785340060191285,10.1117713620565
in,tantus,63.41,1.98365291136921,1.67489573405859,9.97027781987405
in,castra,111.9,3.21847628714805,2.40318845113398,9.86022187070042
in,idem,34.25,1.48812857174635,1.36109539443682,9.81215849509775
in,ipse,5.28,0.504086145649324,0.716018190159529,9.7905426306774
in,animus,21.83,1.19136209333511,1.16914895820926,9.731116021426
in,magnus,5.39,0.532328375656883,0.734832401939204,9.72605497109831
in,prouincia,80.05,2.91930084369649,2.23561475097458,9.66553961662041
in,Gallia,95.47,3.44086870848449,2.52320612459178,9.62083459760715
in,urbs,43.07,1.98348382903197,1.67479032110324,9.61226054791943
in,locus,20.35,1.26727679503256,1.2184975763575,9.57715137080586
in,homo,5.49,0.604059643936376,0.782552213389852,9.55053575668774
in,alius,10.31,0.877153941467378,0.963296904005113,9.52526396722185
in,iste,9.17,0.822547610816907,0.927281931324404,9.52104112514992
in,unus,15.26,1.11040502961458,1.11634887625789,9.51566898548586
in,forum,102.16,3.96938899914618,2.79067105669171,9.50810688774759
in,nos,5.79,0.661392819002327,0.820623556950977,9.4563828970181
in,primus,51.68,2.50447184142515,1.99310439716952,9.45457981841768
in,amicitia,39.1,2.13827055617756,1.7707556952732,9.41274801106603
in,superus,22.05,1.50660167394467,1.37295345991061,9.39052873211252
in,ciuitas,31.45,1.90743650840342,1.62725507695475,9.37240457834129
in,ager,58.14,2.98693442871779,2.27407384946805,9.32483744219187
in,exilium,98.14,4.57887852985004,3.06354580887094,9.30006523756749
