lemma,collocate,LogL,LR,MI,LogDice
iudicium,uoco,55.99,5.49984463481387,4.29571916683622,10.9626460517552
iudicium,corrumpo,35.48,6.65904322966313,5.01703722436286,10.5724853100205
iudicium,uester,13.29,3.21278699977356,2.76725031693579,9.8973566349632
iudicium,uenio,15.47,2.84190728681294,2.51359592435804,9.86826790570628
iudicium,constituo,9.2,3.54356601224319,2.99265545986605,9.72333388098394
iudicium,exspecto,8.58,3.37775711927311,2.8797761117942,9.68029212972538
iudicium,senatus,9.46,2.56875434433403,2.32627852037071,9.63181877214817
iudicium,de,15.95,2.17205588850527,2.05364033145181,9.61570321679158
iudicium,grauis,7.21,3.00241974381453,2.62348035316309,9.57116929912832
iudicium,in,40.78,1.93245773868263,1.88869309847903,9.56988372657938
iudicium,teneo,6.83,2.89823089354255,2.55217132545831,9.53793065765258
iudicium,nullus,8.26,2.3564804596427,2.18046817245967,9.53409188134542
iudicium,tuus,5.41,1.8160643978748,1.80850037728984,9.26467912954686
iudicium,ad,9.88,1.54298812517723,1.62021447683975,9.24712845786456
iudicium,que,10.2,1.37981958573,1.50762625806048,9.16292475702913
iudicium,hic,10.67,1.36480541243689,1.49726347102493,9.15778335752871
