lemma,collocate,LogL,LR,MI,LogDice
laus,gloria,47.45,5.72961088849691,4.55982105120225,11.0327958100605
laus,domesticus,26.11,6.17964380913196,4.85373367340467,10.7323340109624
laus,auidus,22.09,6.81707372974725,5.25919878151284,10.5988026183378
laus,effero,20.62,6.44267821496575,5.02281000344861,10.5553175063981
laus,tantus,13.73,3.28102082950704,2.90402123839962,9.78491382008177
laus,meus,13.48,2.86978854654517,2.62133263726773,9.58821231816529
laus,superus,7.12,2.97577147576631,2.6942494240513,9.50019032966973
laus,fero,5.9,2.63238201759603,2.45786064598707,9.3240607431237
laus,magnus,10.12,2.38584699236908,2.28792998013722,9.29876234526568
laus,tuus,6.08,2.23545467210047,2.18419332706434,9.15581291354141
laus,ad,7.76,1.6987093890086,1.81358586982029,8.88688333099676
laus,et,11.3,1.36150475074235,1.58051821855238,8.68984125541368
