lemma,collocate,LogL,LR,MI,LogDice
littera,tuus,151.08,4.61589691548843,3.73277596377716,11.1833592114256
littera,do,70.42,4.04634875415724,3.35088380035775,10.7500335880618
littera,graecus,41.86,6.56590877965676,4.97787018303323,10.7323340109624
littera,proximus,33.83,7.76944217374189,5.64854450774112,10.42344973086
littera,scribo,30.3,3.78041329156289,3.17107283644063,10.3786264282514
littera,reddo,22.02,4.58501760260446,3.71220380970195,10.3086236656875
littera,monumentum,21.1,5.25159386887927,4.15190208945236,10.2563956461968
littera,affero,19.09,4.13294937238065,3.40925426511938,10.2000264983805
littera,exspecto,18.98,4.11617365962982,3.39795470986545,10.1955622052518
littera,per,23.82,3.20404193939925,2.77896351951403,10.1264868493337
littera,recito,18.77,6.00648137104274,4.6349254319064,10.0813324518532
littera,mitto,17.4,3.408694829964,2.91851539992013,10.0616596862545
littera,accipio,15.35,3.54517733807267,3.01139375639644,10.0240636688282
littera,frater,8.35,3.31399040601714,2.85397687878256,9.6714620502771
littera,quintus,8.06,3.23640746506459,2.80105447732822,9.6497220636407
littera,numquam,6.61,2.83655636960042,2.52764909123312,9.52645825649035
littera,ex,11.41,1.99898683449581,1.95228494632956,9.49342315527515
littera,meus,8.32,2.11166360773479,2.02984911048428,9.47279135548162
