lemma,collocate,LogL,LR,MI,LogDice
magis,ea,89.84,5.55096711723331,4.35751420202804,11.114850186085
magis,multo,84.1,5.8608223798201,4.54429010917138,11.0480703491044
magis,qua,136.23,3.57542016095785,3.08070407374984,10.9991671203184
magis,quod,56.29,3.13868759057969,2.78665613070851,10.5905038155231
magis,cum3,40.97,4.72089211867563,3.83539457164329,10.551777679693
magis,que,37.68,1.81227063498799,1.88217700325619,9.96753084149599
magis,quanto,20.66,5.19785736709767,4.13882500106321,9.9056554377779
magis,quidem,14.25,2.2982972682187,2.21507854106201,9.90103649192161
magis,doleo,17.92,4.6644251670166,3.79895717544086,9.87085151558321
magis,opto,16.68,4.4234170675128,3.64238811474932,9.85093053808865
magis,quisque,8.43,2.75928435335804,2.52938708862911,9.60555084532756
magis,ligneolus,12.26,4.35832203929092,3.59982850033053,9.59328075273575
magis,timeo,8.08,2.68423364809678,2.47833191782883,9.58871800717733
magis,ratio,7.99,2.6644251670166,2.46484856749154,9.58417598574283
magis,cottidie,11.55,4.17276638613484,3.47793868272149,9.57915337347654
magis,diligo,10.76,3.96465819080464,3.34031730484544,9.56127802164957
magis,delecto,8.38,3.33030766312132,2.91598371243289,9.49097367456481
magis,probo,7.54,3.10001004369953,2.7604988095925,9.45847984108837
magis,placeo,7.16,2.99732437972496,2.69097274694389,9.44262047784826
magis,moueo,7.13,2.98635326190396,2.68353776845637,9.44087375251332
magis,exspecto,5.7,2.57953626943008,2.40702899660272,9.36851250569454
magis,qui,8.07,0.731725049861796,1.13847022313035,9.28682415119382
