lemma,collocate,LogL,LR,MI,LogDice
manus,abstineo,33.06,7.67508901588029,5.58262317928479,10.230116761733
manus,porrigo,31.12,7.26005151660145,5.37498381450655,10.2215083871964
manus,effugio,25.34,6.09012651515914,4.71358533226118,10.1795441880973
manus,teneo,18.18,3.5170871818138,3.04364930822651,10.1201558929361
manus,impono,19.65,4.98703302219503,4.02043815170124,10.0980273304254
manus,inicio,20.64,6.52308592243524,4.96951870639838,9.92812829362996
manus,armo,19.96,6.34251367679342,4.86415819074056,9.92246255609428
manus,plenus,11.47,4.14457429918151,3.46544130962211,9.76348094899736
manus,suus,13.04,2.03508515160117,2.03212200985735,9.70543939110739
manus,moueo,8.6,3.38558239868531,2.95461568585612,9.64115670078177
manus,de,11.43,1.77306417544359,1.85197113366007,9.58170718734172
manus,ius,7.48,3.08124836381268,2.747902675938,9.57715137080586
manus,ex,10.35,1.76819842027177,1.84862328989038,9.56088439834199
manus,affero,7.17,2.99534829040704,2.68940646925639,9.55734874350968
manus,certus,6.88,2.91427667975972,2.63414379058134,9.53793065765258
manus,in,23.55,1.44546905069517,1.62639927887085,9.49862904910278
manus,meus,5.97,1.72780383267821,1.82082693838728,9.41758680113453
