lemma,collocate,LogL,LR,MI,LogDice
meus,lucilius,148.21,7.18271175278654,4.94412043757929,10.8999077111218
meus,oratio,64.2,4.53819240738493,3.53097882642322,10.5034924385335
meus,consulatus,72.53,5.25933303438945,3.96840628523434,10.4970199240279
meus,consilium,36.43,3.04069274791411,2.55929724634828,10.2799449284176
meus,frater,41.43,3.8774623990458,3.11017935431494,10.2475590643963
meus,periculum,33.53,3.34372522167982,2.76059470460124,10.1749883715615
meus,sententia,33.2,3.52714458048511,2.88151746026229,10.1335450824814
meus,labor,33.59,3.80228800858903,3.06138919014551,10.0879769945719
meus,de,20.35,1.65757759110776,1.62404860072951,10.0305660873585
meus,pro,19.17,2.60190089533585,2.26505777335034,9.90899433904341
meus,nomen,19.37,2.80654061311519,2.4026434363029,9.87018104958424
meus,defensio,41.59,5.88226338530963,4.32038270839152,9.86941535276276
meus,amicus,17.8,2.65506997770936,2.30086074199296,9.84372448004741
meus,dolor,19.16,3.29730088458847,2.72987280584294,9.73531007203066
meus,diligentia,25.76,4.54883965158443,3.53762336914188,9.68362361531638
meus,salus,14.73,2.76456834263987,2.3744725593362,9.67020695127331
meus,inimicus,17.79,3.48354819133271,2.85284443825246,9.62005887181714
meus,pomponius,37.32,7.2333378258565,4.96473972478203,9.55617296442067
meus,domus,11.09,2.54217592130342,2.22479615990387,9.51699744798612
meus,consuetudo,15.84,3.64837532513535,2.96101000483789,9.46955336020785
meus,casus,15.03,3.5171307918571,2.87493539606665,9.46096961651645
meus,officium,13.3,3.2333378258565,2.68747243977227,9.43982717994264
meus,epistula,13.22,3.22051378549892,2.67896175010437,9.43878170154109
meus,filius,11.5,2.93216829113594,2.48680174431012,9.41299378463958
meus,laus,11.08,2.86078365789917,2.43901108047377,9.40589076137133
meus,caput,10.52,2.76456834263987,2.3744725593362,9.39583031434549
meus,mos,9.33,2.55687697064985,2.23471061696104,9.37209032704242
meus,uox,9.1,2.5171307918571,2.20789935951039,9.36721464697894
meus,necessarius2,26.88,6.54883965158443,4.66155346579429,9.33185501485052
meus,pristinus,20.41,5.19520269696973,3.93066595725149,9.3155566331174
