lemma,collocate,LogL,LR,MI,LogDice
mors,post,62.7,5.58116107437961,4.33797478368466,11.0156964222696
mors,contemno,37.27,5.29324070807658,4.15261832319555,10.6426052409962
mors,timeo,33.39,4.40938764854493,3.57011824142654,10.528421821576
mors,clodius,22.32,4.63313534949339,3.71915382058703,10.279137500033
mors,Africanus,24.64,5.93464390314182,4.56156169568004,10.2653110098548
mors,ante,14.87,4.05663442752043,3.33349133977504,10.0063970075794
mors,metus,14.4,3.96418817875583,3.27118745643889,9.9858717716347
mors,opto,13.59,4.68466565013347,3.75334518533531,9.8973566349632
mors,Publius,12.5,3.58950841709313,3.01763839035656,9.89323291777934
mors,aut,15.92,2.30237568764231,2.13783876706482,9.7157240206698
mors,dolor,8.9,3.46227322879702,2.93120588458426,9.68029212972538
mors,de,14.78,2.07214742689175,1.97953235929809,9.60386875914458
mors,genus,6.25,2.73470633263307,2.43449210501095,9.47821142295096
mors,periculum,6.19,2.71783251406867,2.42293128260987,9.47279135548162
mors,ad,8.81,1.44307966356371,1.54610650468603,9.23960827918316
