lemma,collocate,LogL,LR,MI,LogDice
nec,uersus,134.93,5.75760384234432,4.14646445762117,11.1279102869413
nec,ullus,98.99,5.03513781787323,3.70361181744139,10.9203862424653
nec,quisquam,34.23,3.83794595066192,2.9268995585354,10.2056350380401
nec,enim,31.81,2.46400447051545,2.00081168741626,10.1282204527728
nec,solum,27.92,3.89135523123315,2.9623299955149,10.0451569973889
nec,tamen,16.19,2.33133908764222,1.91032446403528,9.82024255992977
nec,parum,17.9,3.13869400969983,2.45855492974557,9.81794985735879
nec,umquam,18.79,3.60560074889927,2.772146287548,9.77804431318525
nec,ante2,16.95,3.35767323545568,2.60601941667402,9.7420260139961
nec,dubito,11.92,3.4845853479379,2.69117722501433,9.43045699165506
nec,tantum,10.15,3.12339782260331,2.44823104640394,9.38859926426127
nec,possum,5.86,1.14371208446645,1.09572555455497,9.38364262462134
nec,timeo,7.6,2.581015110621,2.08050626627862,9.30750598584023
nec,amicitia,6.48,2.33133908764222,1.91032446403528,9.26161097022569
nec,mirus,13.78,4.75760384234432,3.52742524921495,9.25361964546039
nec,uis,5.66,2.14289399822911,1.78157548129097,9.22297955708525
nec,uero,5.42,2.08517850037282,1.74209667031718,9.21042709101413
nec,prius,9.97,3.75760384234432,2.87349878180828,9.20283299169454
nec,turpis,8.15,3.26931736103484,2.54659599620322,9.16371809304852
nec,regnum,6.95,2.93884415701447,2.32345244488901,9.12990472868274
nec,oculus,6.56,2.82949676082611,2.24934447273529,9.11719807741363
nec,mens,5.78,2.60560074889927,2.09723669453783,9.08857135598719
