lemma,collocate,LogL,LR,MI,LogDice
nomen,defero,18.31,4.7215755272884,3.85801580789919,10.1740796936253
nomen,meus,28.63,2.9898339401852,2.69032550875468,10.157863122036
nomen,artifex,21.68,6.77468686374796,5.14587009620583,10.0946659827227
nomen,romanus,19.66,3.0494910465213,2.73107301260486,10.0669496273798
nomen,exstinguo,16.82,5.51165245791417,4.37268020797235,10.0265683664432
nomen,regius,14.86,5.00915211738498,4.04725780753772,9.98061847625135
nomen,suus,22.46,2.55229444241151,2.39079495645876,9.92529141229476
nomen,noster,15.72,2.63309058536414,2.44618814477414,9.87085151558321
nomen,gens,11.02,4.02336597660468,3.39185095496062,9.84111691664033
nomen,appello,10.26,3.82359646422891,3.25711836099047,9.80279805233819
nomen,populus,10.82,2.49175290047646,2.34926649776218,9.71641343813937
nomen,pax,8.28,3.29787316688243,2.90044341705173,9.68251188646369
nomen,honor,8.16,3.26372494447058,2.87718655488747,9.67366227118671
nomen,tollo,8,3.22214584071918,2.84885604826124,9.66270925916751
nomen,audio,7.73,2.60476186230565,2.42677005891704,9.61174281557548
nomen,imperium,6.7,2.86139849694129,2.60251985054776,9.55931145267753
nomen,Caesar,6.06,2.23242881398104,2.17119123184967,9.45936833514948
nomen,tuus,7.2,1.93338460976702,1.96550412609951,9.44087375251332
nomen,quantus,5.23,2.43840347588353,2.31265675214962,9.41843967965104
nomen,do,6.13,1.95911143488539,1.98321195133586,9.40589076137133
nomen,atque,5.6,1.23428755811734,1.48359132388907,9.12594837102385
