lemma,collocate,LogL,LR,MI,LogDice
non,possum,882.2,3.37161432295696,2.57682366663568,11.8149112865044
non,modo,840.73,5.18526925746055,3.45320107287097,11.4912095810197
non,sum,209.49,1.10496632674257,1.1634580970117,11.2604732646686
non,solum,473.45,5.59716880525332,3.60222782707652,10.888140907896
non,enim,80.91,1.8193156405749,1.63028994234524,10.4966289936085
non,ut,12.74,0.579884390013527,0.813269017737546,10.36800725751
non,uideo,35.11,1.18700695733886,1.2177047896766,10.315114016432
non,habeo,36.5,1.34149541709239,1.31945327548572,10.2074208914536
non,dico,12.74,0.789346361169197,0.953534136672917,10.0371742050775
non,dubito,139.97,4.35272731882411,3.09184536751012,9.97079473994886
non,facio,10.68,0.749026503318,0.926588548720962,9.97074966884919
non,tam,42.04,1.87749764908741,1.66768073233482,9.90741136448016
non,fero,36.31,1.80524605807324,1.62123174194943,9.82913541098188
non,quia,63.32,2.90868882958666,2.30783885884483,9.70671036828322
non,tantum,75.17,3.3598840219376,2.57018578643071,9.68417994356439
non,licet,53.76,2.66745682384789,2.16254439889995,9.66598258451248
non,puto,20.53,1.43671516535496,1.38188621605894,9.63536510803799
non,uenio,13.86,1.16832137123685,1.2053621097077,9.58309758598341
non,audeo,60.05,3.19638528965472,2.47665972841989,9.53217800516313
non,intellego,36.17,2.34143562245801,1.9614957030553,9.46903812564763
non,parum,28.12,2.0529324995736,1.77973182502003,9.41665721705643
non,nonnullus,85.04,4.79584736007099,3.29385955764981,9.37184597762153
non,debeo,21.73,1.80210635054268,1.61920949656866,9.362731474448
non,sine,12.53,1.37822361264054,1.34356126368061,9.24959090678183
non,timeo,22.47,2.02290246879922,1.76062825402635,9.2262597849562
non,paruus,25.56,2.27485934767781,1.91984899141207,9.17924416357744
non,desum,35.37,2.93335088382093,2.32250904859263,9.134390477954
non,fio,7.83,1.160761379924,1.20036626251432,9.08001907417188
non,audio,6.84,1.07536988869336,1.14385405225098,9.07546740495716
non,patior,19.79,2.09428710203599,1.805985403712,9.05455529144096
