lemma,collocate,LogL,LR,MI,LogDice
nos,ab,40.51,1.89685670640533,1.85643691001765,10.305067474173
nos,inter,28.03,3.14000674271546,2.69500495414754,10.135449844962
nos,apud,19.39,2.80790824879601,2.47298113421482,9.929075711986
nos,qui,23.35,0.932236954033513,1.19618935189651,9.87041420416678
nos,hic2,20.84,3.49334354232213,2.92899852148582,9.8245144323553
nos,de,10.42,1.30321308792098,1.45074182433128,9.8023558679401
nos,ad,10.01,1.04720342003722,1.27514507902133,9.7756023095297
nos,omnis,7.59,1.02269311730356,1.258316983811,9.70343092619006
nos,do,8.84,1.61405050527764,1.66346036150173,9.69593490679583
nos,uterque,17.59,3.45586883690347,2.90430590889544,9.68920087461449
nos,in,8.25,0.701683254148195,1.03768806218881,9.67344740225593
nos,quisque,11.86,2.65380821451538,2.36938273355039,9.59633419022264
nos,uenio,6.49,1.53425673558818,1.60891073860419,9.55002270341761
nos,natura,8.3,2.11678019085792,2.00606324689299,9.5066929071573
nos,autem,5.81,1.55427254096446,1.62259806958669,9.47821142295096
nos,erga,19.11,4.93391613370811,3.84528925335997,9.39108682773307
nos,igitur,7.16,2.16233234267233,2.03700048218071,9.37994120151816
nos,at,5.79,1.89829222397739,1.85741490520563,9.3337347146521
nos,potestas,8.97,2.88329006063814,2.52353341337765,9.28709711420903
nos,amo,8.63,2.81053371820283,2.47474324920822,9.28038567962104
nos,prouincia,5.28,2.0547705285825,1.96391762544223,9.19086908211447
nos,iuuo,10.08,3.80267160042986,3.13152278559729,9.08245512896976
nos,uiuus,9.96,3.77164470480923,3.11132007827977,9.08123635977563
nos,paupertas,9.53,3.65380821451538,3.03435903714364,9.07637608289337
nos,consequor,7.29,3.04083133762462,2.62889392903548,9.04417294239874
nos,aliquando,6.91,2.93391613370811,2.55743496505333,9.03715536974009
