lemma,collocate,LogL,LR,MI,LogDice
noster,maiores,189.41,6.36742398549143,4.68670080912581,11.3487026154902
noster,miles,53.8,4.18595043296184,3.40948491902422,10.5286992525669
noster,exercitus,42.68,3.54911629804194,2.99514663823557,10.4274537402134
noster,imperator,42.7,4.21737292167706,3.42961817948592,10.3364383538704
noster,memoria,34.92,3.90633314293244,3.22894748402377,10.2226518978985
noster,prouincia,29.77,3.4912956436536,2.95701376854013,10.1670202019123
noster,amicus,26.84,3.04865368298015,2.66285918158273,10.1595706477589
noster,causa,17.56,2.19117191908458,2.08452565932437,9.99494212860466
noster,consilium,18.38,2.53152548844213,2.31515988236773,9.98091792227845
noster,aduentus,29.77,4.51205420382039,3.61671301503253,9.96702438415419
noster,pater,17.69,2.64329873709865,2.39061829361933,9.93668754702563
noster,eques,22.76,3.71368806499004,3.10325926886027,9.90446566964231
noster,amicitia,17.4,2.82453905176879,2.51263324418229,9.88912613582669
noster,iter,19.5,3.33517644173631,2.8536961545121,9.86255033724307
noster,potestas,18.41,3.56529622509737,3.00580393270956,9.75867324742925
noster,nomen,12.84,2.52782151967871,2.31265675214962,9.73732012295869
noster,certus,9.78,2.63530594634511,2.38522744498445,9.50019032966973
noster,Pompeius,9.17,2.52782151967871,2.31265675214962,9.48475452153989
noster,auctoritas,8.57,2.4209063157622,2.24033609056999,9.46847635418021
noster,ciuitas,6.16,1.97024490675263,1.93422031642937,9.38884774233436
noster,amor,9.43,2.98033372437622,2.61714594291778,9.35560910085863
noster,nauis,8.34,2.74713454808318,2.46057688222624,9.33185501485052
noster,gloria,7.29,2.51860298964933,2.30642620239898,9.30521765532222
noster,legio,6.45,2.3294079612767,2.17834441454202,9.28038567962104
noster,malum,6.45,2.3294079612767,2.17834441454202,9.28038567962104
noster,mos,6.42,2.32137064221128,2.17289480977446,9.27927147337764
noster,aetas,5.79,2.17659911799731,2.07462458834166,9.25833406942337
noster,castra,5.4,2.08530328397776,2.01255215969928,9.24425695553253
noster,ratio,5.18,2.0318640250163,1.9761845155284,9.23569159267361
noster,salus,5.18,2.0318640250163,1.9761845155284,9.23569159267361
