lemma,collocate,LogL,LR,MI,LogDice
nouus,agmen,49.96,7.62829029882825,5.60028163069173,10.9089575466417
nouus,tabula,39.86,6.29268726704381,4.81858105279034,10.7945471954639
nouus,quaestio,26.03,6.18771770744227,4.75298377030453,10.4482297598585
nouus,monstrum,23.45,7.21325279954941,5.3697579720799,10.2544252022095
nouus,quidam,23.33,3.75114704661378,3.14490732846875,10.2354831316804
nouus,semper,16.15,3.67011047452288,3.08977943371477,10.0603618275389
nouus,res,44.23,2.75315218250416,2.46271916169852,9.94821505219669
nouus,decerno,12.03,4.27914073520586,3.5024909503437,9.9424346892812
nouus,consilium,12.82,3.13552149631684,2.72483552301224,9.84738652965392
nouus,homo,9.01,2.21970782168671,2.09594842839386,9.4505187198725
