lemma,collocate,LogL,LR,MI,LogDice
nox,propior,30.35,5.83579132484596,4.61021249673866,10.7891563468291
nox,medius,30.03,5.78688172436502,4.57812418218716,10.7771321538623
nox,hora,17.61,5.68378823140091,4.5103015858484,10.4118621156876
nox,dies,38.03,4.113827894019,3.45524727151942,10.3890820873558
nox,ante,12.7,4.44373714356796,3.6795330274124,10.101400014904
nox,multus,12.09,2.67294667175348,2.46737949099627,9.48457218951277
nox,unus,8.46,2.75959003269728,2.52704150506739,9.46337635654702
nox,uenio,8.37,2.74006086761202,2.51359592435804,9.45272379243081
nox,iam,7.38,2.5263541741418,2.36638556196669,9.33420519219547
nox,ille,14.04,2.00578699294063,2.0073032482239,9.12237675289208
nox,que,7.9,1.505595613975,1.66177693788773,8.78887584515434
