lemma,collocate,LogL,LR,MI,LogDice
numerus,hostis,57.14,5.16834530212788,4.20056709059679,10.8257412406206
numerus,mille,22.11,5.41842128215004,4.36884143166518,10.5905038155231
numerus,interficio,16.49,5.39496230932605,4.35309307469705,10.435173194556
numerus,magnus,68.04,4.26419395231778,3.58642895795527,10.36629131702
numerus,homo,19.9,3.35723192024861,2.96456905824989,9.71739914546413
numerus,ciuis,9.46,3.60320424231947,3.13361608383514,9.70271459378121
numerus,habeo,17.28,3.05322573335851,2.75533019384345,9.52999519392809
numerus,dies,6.32,2.75172676702955,2.54754028333665,9.24067913418465
numerus,ex,11.11,2.53110909685909,2.39534846799473,9.18781564462758
numerus,noster,5.31,2.46041537081467,2.3465583038253,9.07033376843741
numerus,is,17.15,2.04608042574542,2.06041264052223,8.90695793093533
