lemma,collocate,LogL,LR,MI,LogDice
omnis,res,43.74,1.38344200716409,1.44979134461062,10.525170950075
omnis,ex,45.14,1.66440911996403,1.63814669758841,10.4593364901935
omnis,que,24.33,0.908404435512029,1.12892840203431,10.4059374263299
omnis,qui,10.28,0.441211713091193,0.811102785839743,10.3125443232038
omnis,ut,15.34,0.810024675956656,1.06216506515417,10.2669820232319
omnis,cum,12.57,0.74069065230572,1.01505719670857,10.2250233293038
omnis,in,6.77,0.430219006032408,0.803602835142893,10.2191582098514
omnis,hic,8.76,0.568208004179551,0.897681023470494,10.201404146265
omnis,ab,8.18,0.720728563570209,1.00148607782596,10.0462938325013
omnis,copia,55.42,3.37052733633986,2.74236289415289,9.99085028384113
omnis,boni,77.92,4.69343319815105,3.50813271425037,9.93525590755419
omnis,per,18.75,1.63356174217365,1.61752741038568,9.86865024178434
omnis,iste,13.01,1.31868840482024,1.40621831671847,9.81649689669635
omnis,gens,49.84,3.8373084107127,3.02522568016872,9.74014099930033
omnis,unus,12.57,1.41368491875599,1.47012211869795,9.71603036975698
omnis,nos,7.09,1.01957019284096,1.20424976254072,9.64936370491979
omnis,pars,12.73,1.65126374390711,1.62936186803268,9.54399295232813
omnis,ciuis,13.91,1.82118874534942,1.74269055333969,9.4980558571411
omnis,uos,5.95,1.0637590486235,1.23415326009171,9.46816885110275
omnis,scelus,16.92,2.28062036398672,2.04625567196447,9.38442953939412
omnis,tempus,5.54,1.11459680022673,1.26852891394529,9.35320813932109
omnis,Gallia,15.45,2.44679323056792,2.15484464959865,9.20835024706929
omnis,malum,12.45,2.13313275166416,1.94930480270268,9.19279641109382
omnis,sermo,13.29,2.39492399064732,2.1210269940596,9.09611507585062
omnis,ante,13,2.36175712671212,2.09936549727842,9.09472522156157
omnis,oculus,13,2.36175712671212,2.09936549727842,9.09472522156157
omnis,uoluptas,12.91,2.35086881056939,2.09224802950955,9.0942623657329
omnis,ordo,12.1,2.2564041265659,2.03037262579147,9.09010627570528
omnis,reliquus,8.98,1.87476978555427,1.77831773098284,9.07048438218873
omnis,aetas,8.38,1.79882093232097,1.72780194084593,9.06597580827559
