lemma,collocate,LogL,LR,MI,LogDice
ordo,equester,59.84,8.92328660704428,6.4091043645685,11.3550079348649
ordo,amplus,15.11,5.05387071685443,4.07542868450442,10.2783307230631
ordo,longus,13.45,4.63504163841321,3.79286171271941,10.1569698660588
ordo,dignitas,12.11,4.29280944707076,3.56052973535079,10.0423664833198
ordo,hic,92.25,3.25393655542647,2.84987177449001,9.9423499327443
ordo,totus,13.25,3.73042479432481,3.17663711249676,9.92458344766342
ordo,omnis,20.3,2.52593359436822,2.34882635691,9.40856000682381
ordo,populus,5.2,2.42650963207532,2.28027362627523,9.18510928302984
ordo,homo,6.08,2.2346328032809,2.14790816732457,9.12480267679885
ordo,atque,6.53,1.66000450698018,1.75107068902334,8.82022488581185
