lemma,collocate,LogL,LR,MI,LogDice
pax,auctor,23.97,5.77748529519135,4.50542697913646,10.5781833311351
pax,mitto,28.62,4.33370790047145,3.53898646357683,10.3948904289515
pax,uictor,17.2,5.5814575778543,4.37634993686131,10.3364383538704
pax,condicio,16.75,5.46780079605873,4.30112651562373,10.3152959172965
pax,peto,13.64,3.80829134197252,3.18100802173465,9.9657593618476
pax,Antonius,10.72,3.93476608738144,3.26737486115766,9.89460560159131
pax,de,28.57,2.98178857831812,2.61432506657614,9.76287872073465
pax,spes,9.19,3.53491499191727,2.99396947506256,9.73967030030364
pax,semper,8.74,3.41416283245666,2.91121551403365,9.68920087461449
pax,in,19.77,1.77214790456462,1.78044491116401,9.00617182422013
pax,facio,5.58,1.84828107330121,1.83302698415211,8.97152478777541
pax,cum,9.97,1.72756006985967,1.74964537521305,8.95014399275046
pax,ad,7.3,1.63894307251506,1.68842272686629,8.87938985269517
