lemma,collocate,LogL,LR,MI,LogDice
pecunia,repeto,100.61,8.19765401401743,6.02498182483823,11.8283522644534
pecunia,grandis,35.51,7.98214797826623,5.90323838796575,11.004267726446
pecunia,magnitudo,33.76,6.34255022096822,4.89242830274209,10.9273066853099
pecunia,soluo,26.78,6.29933815414692,4.86434533399927,10.7711738442786
pecunia,polliceor,26.3,6.20770767868136,4.80462609929764,10.7515653728903
pecunia,de,28.56,3.1581256498308,2.74313120080864,9.69593490679583
pecunia,modus,8.85,3.44435058562375,2.93990953846642,9.63690137521164
pecunia,do,12.58,3.09257196795988,2.69802062867698,9.56206573338782
pecunia,publicus,11.49,2.91175865037483,2.57352144126235,9.45670521773
pecunia,magnus,8.32,2.36465151339668,2.19626279161139,9.1263305609769
pecunia,suus,5.46,2.09052413931102,2.00699134513177,8.93345707396545
