lemma,collocate,LogL,LR,MI,LogDice
praetor,urbanus,31.62,7.2133572911347,5.53297794879562,11.0295855344303
praetor,pomptinus,26.82,8.0207122131923,6.01848576457733,10.8864846907896
praetor,interea,21.92,6.75767780735851,5.24529587634384,10.7419034619785
praetor,Metellus,20.04,6.2837466190261,4.93856560892137,10.6559610321778
praetor,prouincia,11.89,4.2341158513015,3.56174999175602,10.0017992983308
praetor,apud,10.18,3.7931764885799,3.25988328431228,9.79779804192149
praetor,consul,8.9,3.45592759440878,3.02832453607279,9.62844466519341
praetor,iste,12.95,3.15281574919965,2.81981264702664,9.55499856616473
praetor,uenio,10.23,3.12589444988436,2.80127799680982,9.50576137471919
praetor,populus,6.25,2.73038611569077,2.52873498557373,9.23072880333148
