lemma,collocate,LogL,LR,MI,LogDice
primus,lux,37.11,5.94013770487094,4.66679317075442,10.8081528475197
primus,quisque,18.94,4.10614765630987,3.45485219677931,10.2458010797654
primus,acies,15.81,5.24130723959151,4.21359665982507,10.1713586035109
primus,aetas,13.72,3.82707504038431,3.26561019714078,10.0391868304024
primus,sententia,13.39,3.76325994278687,3.22222990151056,10.0179846227518
primus,in,74.24,2.45914476519616,2.32957663379074,9.7910520550389
primus,ciuitas,6.75,2.87373647914843,2.61438030146251,9.55931145267753
primus,pars,5.26,2.44503581666292,2.31987226394032,9.37994120151816
primus,quidem,5.65,2.13502473360001,2.10646988168167,9.31786877287578
primus,ille,6.76,1.37464648877152,1.58195172212865,9.00617182422013
primus,qui,11.38,1.12273689667626,1.40792769767006,8.88113331515424
