lemma,collocate,LogL,LR,MI,LogDice
puto,non,29.55,1.56769587114682,1.56993844756188,9.82341733954093
puto,restituo,17.98,4.67807892693473,3.661833450313,9.72159927517174
puto,beatus,16.7,4.42871945799801,3.50019209875659,9.70441672185174
puto,quisquam,11.18,2.86994648125772,2.45996812832663,9.6732218395566
puto,tu,14.73,1.44715670625469,1.48708172882884,9.6732218395566
puto,sum,38.81,1.2188215868206,1.32997987576384,9.65582881369454
puto,ut,14.71,1.36807810665818,1.43269405342654,9.64299984046057
puto,dignus,13.03,3.70555966335684,3.02275349102333,9.63690137521164
puto,ego,14.39,1.35071694599674,1.42075055707675,9.63285629601783
puto,Milo,12.06,3.51118161818999,2.89270036277514,9.61329681744222
puto,quantus,9.01,2.49430779962559,2.20444316750938,9.58599031947307
puto,si,9.42,1.31995164094064,1.39958314111094,9.54836956938041
puto,cogito,9.55,2.99660844536023,2.54582941893303,9.53696958117303
puto,aliquis,6.91,1.88767407380707,1.78958153200514,9.50390090906627
puto,facio,6.39,1.33239334092299,1.40814379018684,9.45830223696748
puto,qui,12.72,0.875732401563027,1.09361202757047,9.40367837108839
puto,confirmo,9.92,3.7430343687755,3.04775479322875,9.3964978711126
puto,suscipio,8.49,3.36160526213948,2.7922298324115,9.35881937648888
puto,oportet,8.03,3.23607438005562,2.70767244438344,9.34445360668684
puto,Roma,5.7,2.58157094608139,2.26391105119799,9.25072947003815
puto,se,5.39,2.49111599513588,2.20226688808679,9.23498111307001
