lemma,collocate,LogL,LR,MI,LogDice
quantus,quisque,17.75,3.92342915342609,3.11116444836739,10.0564783275125
quantus,intellego,16.85,3.78273029051635,3.01585426856306,10.0165869984852
quantus,afficio,17.27,5.61801614532175,4.23387428861456,9.9424346892812
quantus,appareo,16.84,5.50839165414725,4.1632567214006,9.9338263147446
quantus,calamitas,15.17,5.08458394524067,3.88700334477245,9.89460560159131
quantus,emo,14.23,4.84357584573688,3.72793865014276,9.86750367181352
quantus,satis2,12.21,4.3267848476573,3.38309816385103,9.79530738060904
quantus,opus,10.18,3.79985446830756,3.02746542949074,9.69818969918292
quantus,affero,8.78,3.43131543112861,2.77696236028071,9.61381535517745
quantus,puto,9.61,2.59448063086096,2.20444316750938,9.58599031947307
quantus,tantus,9.49,2.57500325636165,2.19107143054349,9.5775514508272
quantus,possum,13.46,1.95577793112395,1.76517363753961,9.45043862696468
quantus,nomen,6.31,2.75220149271614,2.31265675214962,9.41843967965104
quantus,uideo,10.96,1.95006427992956,1.76123773141837,9.41503252132943
quantus,habeo,8.77,1.98504827168976,1.78533528299743,9.38558694693073
quantus,scio,5.07,2.39021022779894,2.06412396683059,9.2919724285722
quantus,uos,5.52,2.1060554755435,1.86865798003921,9.29046979868767
quantus,ille,7.02,1.32996142517748,1.33357415352106,9.07175866044152
quantus,in,6.15,0.964899321092502,1.08143261115166,8.87097183444853
quantus,sum,9.74,0.892686057361983,1.03153091283077,8.84689488568924
