lemma,collocate,LogL,LR,MI,LogDice
qui,is,380.99,1.67409206244825,1.33849469535091,11.3588440337278
qui,sum,64.97,0.551924326717692,0.618062326622362,11.1422339589379
qui,in,106.45,0.906272586843903,0.849798078680665,11.0427154825936
qui,ego,71.43,0.990052577545791,0.904092696291337,10.6933178519283
qui,ille,59.99,0.950367037547039,0.878399585226593,10.6120927899181
qui,cum,30.37,0.688576339421827,0.707807106761095,10.4975244984036
qui,tu,39.8,0.829409878480536,0.799810155924689,10.469169542764
qui,res,45.39,0.930085863184778,0.865251339978975,10.42605051256
qui,ex,94.23,1.50189442675612,1.23081314908396,10.4061728224424
qui,ad,23.24,0.657452559814549,0.687406452934583,10.357067533493
qui,de,39.43,1.02633564039573,0.927541719382109,10.1806729473884
qui,ab,13.76,0.570853415127525,0.630520173492377,10.1421083204609
qui,quidem,110.23,2.08814897649893,1.59177222261518,10.1052177898845
qui,omnis,8.13,0.452954060266947,0.552795322067867,10.0542368594319
qui,si,6.73,0.412428351815676,0.526008586113646,10.0403019402549
qui,dico,21.4,0.80866942393301,0.786293697796442,10.0048260004577
qui,sui,7.7,0.466730187225037,0.561893075292181,9.96659260843263
qui,habeo,16.83,0.814380948464661,0.790017030180365,9.78753575845565
qui,facio,6.23,0.480718640740155,0.571126830923344,9.74460553549037
qui,iste,23.46,1.10803370794465,0.980192635201861,9.61080571816592
qui,nos,14.11,0.880851846175663,0.833283858207138,9.50750871047742
qui,uolo,10.31,0.767924890601488,0.759707186454504,9.44215438601973
qui,nunc,19.34,1.21855970247705,1.05107840101534,9.28198387068869
qui,dies,5.95,0.685216725627456,0.705606140834076,9.12408728389842
qui,nisi,18.85,1.3300849779066,1.12218000570391,9.11780921231012
qui,scribo,14.42,1.16147296690611,1.01451651390571,9.08147999481155
qui,autem,5.92,0.720984839970311,0.729024176340621,9.03366496480032
qui,scio,13.22,1.17358925322217,1.02228569837863,8.98137204115971
qui,magis,6.53,0.807680373363499,0.785648848507612,8.93400277657108
qui,nemo,12.78,1.26202070296145,1.07883874867929,8.82963953037736
