lemma,collocate,LogL,LR,MI,LogDice
regnum,Syria,27.21,8.13276063590936,6.03090828457588,10.8081528475197
regnum,appeto,22.96,7.02584543199285,5.36950980233052,10.7103551042436
regnum,patrius,21.22,6.58527284060687,5.08992494011136,10.6500959127254
regnum,expello,20.52,6.40693559934836,4.97485561032657,10.6212754741899
regnum,obtineo,20.26,6.34134725772078,4.93229599590777,10.609975918936
regnum,occupo,17.63,5.68345323454577,4.49943191361149,10.4736394753838
regnum,deus,22.2,4.03230045413015,3.38296200754338,10.1184362020566
regnum,suus,8.7,2.43189414804444,2.28258137181853,9.16213204989289
regnum,nec,5.42,2.49112568605132,2.32345244488901,9.12990472868274
regnum,in,10.73,1.54406817363268,1.66921927605378,8.63384427431184
